Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-09-13 22:52:12,59.97,44.62,23.9,26.55,57.16
2025-09-13 22:52:13,60.05,44.0,23.9,26.56,57.09
2025-09-13 22:52:14,60.17,43.5,23.9,26.57,56.82
2025-09-13 22:52:15,59.99,43.0,23.9,26.57,57.04
2025-09-13 22:52:16,60.04,42.75,23.9,26.57,57.27
2025-09-13 22:52:17,60.11,42.38,23.9,26.58,57.0
2025-09-13 22:52:18,59.96,42.12,23.9,26.61,57.19
2025-09-13 22:52:19,60.0,41.88,23.9,26.64,57.26
2025-09-13 22:52:20,59.92,41.75,23.9,26.68,57.02
2025-09-13 22:52:21,60.16,41.62,23.9,26.71,57.12
2025-09-13 22:52:22,60.0,41.5,23.9,26.75,56.95
2025-09-13 22:52:23,60.09,41.38,23.9,26.78,57.16
2025-09-13 22:52:24,60.23,41.25,23.9,26.82,57.24
2025-09-13 22:52:25,60.0,41.25,23.9,26.84,57.14
2025-09-13 22:52:26,60.13,41.12,23.9,26.86,57.23
2025-09-13 22:52:27,60.17,41.12,23.9,26.9,57.07
2025-09-13 22:52:28,60.0,41.12,23.9,26.93,57.28
2025-09-13 22:52:29,59.82,41.12,23.9,26.96,56.99
2025-09-13 22:52:30,60.12,41.12,23.9,26.97,57.25
2025-09-13 22:52:31,59.99,41.12,23.9,26.99,57.03
2025-09-13 22:52:32,60.06,41.12,23.9,27.0,57.01
2025-09-13 22:52:33,59.98,41.25,23.9,27.0,57.18
2025-09-13 22:52:34,60.0,41.25,23.9,27.01,57.28
2025-09-13 22:52:35,59.81,41.25,23.91,27.03,57.14
2025-09-13 22:52:36,60.02,41.25,23.91,27.04,57.14
2025-09-13 22:52:37,60.15,41.25,23.91,27.05,56.89
2025-09-13 22:52:38,60.0,41.25,23.91,27.07,57.05
2025-09-13 22:52:39,59.96,41.25,23.91,27.09,57.22
2025-09-13 22:52:40,59.72,41.38,23.91,27.13,56.96
2025-09-13 22:52:41,60.12,41.38,23.92,27.15,57.35
2025-09-13 22:52:42,60.0,41.38,23.93,27.18,57.28
2025-09-13 22:52:43,59.89,41.38,23.94,27.21,57.24
2025-09-13 22:52:44,60.05,41.38,23.94,27.23,57.42
2025-09-13 22:52:45,60.23,41.38,23.93,27.26,57.38
2025-09-13 22:52:46,60.0,41.38,23.93,27.29,57.25
2025-09-13 22:52:47,59.82,41.38,23.93,27.3,57.39
2025-09-13 22:52:48,60.07,41.5,23.93,27.33,57.44
2025-09-13 22:52:49,59.91,41.5,23.93,27.35,57.2
2025-09-13 22:52:50,60.0,41.5,23.94,27.36,57.03
2025-09-13 22:52:51,59.96,41.5,23.94,27.36,57.22
2025-09-13 22:52:52,59.95,41.62,23.94,27.38,57.16
2025-09-13 22:52:53,59.95,41.62,23.93,27.4,57.33
2025-09-13 22:52:54,60.0,41.62,23.93,27.42,57.35
2025-09-13 22:52:55,60.26,41.62,23.93,27.44,57.23
2025-09-13 22:52:56,59.58,41.62,23.92,27.44,57.41
2025-09-13 22:52:57,60.23,41.75,23.92,27.45,57.26
2025-09-13 22:52:58,59.99,41.75,23.91,27.46,57.35
2025-09-13 22:52:59,59.97,41.75,23.91,27.47,57.23
2025-09-13 22:53:00,59.78,41.75,23.91,27.48,57.33
2025-09-13 22:53:01,60.08,41.75,23.91,27.49,57.06
2025-09-13 22:53:02,59.99,41.75,23.9,27.49,57.23
2025-09-13 22:53:03,60.28,41.88,23.9,27.5,57.29
2025-09-13 22:53:04,60.0,41.88,23.9,27.51,57.17
2025-09-13 22:53:05,59.99,41.88,23.91,27.52,57.3
2025-09-13 22:53:06,59.99,41.88,23.91,27.54,57.41
2025-09-13 22:53:07,59.94,41.88,23.9,27.55,57.5
2025-09-13 22:53:08,59.89,41.88,23.9,27.56,57.3
2025-09-13 22:53:09,59.88,41.88,23.9,27.58,57.37
2025-09-13 22:53:10,60.0,41.88,23.9,27.59,57.35
2025-09-13 22:53:11,59.89,41.88,23.9,27.59,57.28
2025-09-13 22:53:12,60.3,41.88,23.9,27.59,57.37
2025-09-13 22:53:13,60.23,41.88,23.91,27.59,57.32
2025-09-13 22:53:14,60.0,41.88,23.91,27.58,57.37
2025-09-13 22:53:15,60.0,41.88,23.91,27.56,57.39
2025-09-13 22:53:16,59.73,41.75,23.91,27.55,57.46
2025-09-13 22:53:17,60.24,41.75,23.91,27.54,57.23
2025-09-13 22:53:18,59.97,41.75,23.91,27.53,57.46
2025-09-13 22:53:19,59.85,41.75,23.91,27.53,57.4
2025-09-13 22:53:20,60.0,41.75,23.91,27.53,57.56
2025-09-13 22:53:21,60.03,41.75,23.91,27.54,57.28
2025-09-13 22:53:22,59.99,41.75,23.91,27.55,57.43
2025-09-13 22:53:23,60.13,41.88,23.91,27.56,57.41
2025-09-13 22:53:24,59.99,41.88,23.91,27.57,57.4
2025-09-13 22:53:25,59.68,41.88,23.91,27.58,57.69
2025-09-13 22:53:26,60.1,41.88,23.91,27.58,57.42
2025-09-13 22:53:27,60.0,41.88,23.91,27.59,57.54
2025-09-13 22:53:28,59.99,41.88,23.91,27.59,57.48
2025-09-13 22:53:29,60.04,41.88,23.91,27.59,57.48
2025-09-13 22:53:30,60.21,41.88,23.91,27.6,57.43
2025-09-13 22:53:31,60.0,41.88,23.91,27.59,57.38
2025-09-13 22:53:32,59.97,41.88,23.9,27.61,57.39
2025-09-13 22:53:33,59.8,41.88,23.88,27.61,57.41
