Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-04 21:53:40,60.04,46.0,20.68,29.37,77.29
2025-08-04 21:53:41,60.06,45.62,20.66,29.35,77.07
2025-08-04 21:53:42,60.0,45.25,20.63,29.33,76.82
2025-08-04 21:53:43,59.92,45.0,20.63,29.32,77.15
2025-08-04 21:53:44,60.27,44.75,20.62,29.33,76.97
2025-08-04 21:53:45,60.0,44.5,20.6,29.36,77.17
2025-08-04 21:53:46,59.98,44.38,20.6,29.41,76.73
2025-08-04 21:53:47,59.98,44.12,20.61,29.47,76.8
2025-08-04 21:53:48,60.01,44.0,20.61,29.5,77.03
2025-08-04 21:53:49,60.32,44.0,20.62,29.54,77.07
2025-08-04 21:53:50,60.0,43.88,20.65,29.57,76.55
2025-08-04 21:53:51,60.18,43.75,20.7,29.59,76.55
2025-08-04 21:53:52,60.11,43.75,20.78,29.61,76.77
2025-08-04 21:53:53,60.0,43.75,20.87,29.63,76.89
2025-08-04 21:53:54,60.07,43.75,20.96,29.66,76.97
2025-08-04 21:53:55,60.13,43.75,21.09,29.68,76.77
2025-08-04 21:53:56,60.13,43.75,21.19,29.7,76.89
2025-08-04 21:53:57,60.0,43.75,21.27,29.73,76.77
2025-08-04 21:53:58,60.11,43.75,21.31,29.75,76.99
2025-08-04 21:53:59,59.8,43.75,21.33,29.77,76.82
2025-08-04 21:54:00,59.99,43.75,21.35,29.79,76.77
2025-08-04 21:54:01,59.82,43.88,21.36,29.82,76.57
2025-08-04 21:54:02,60.0,43.88,21.37,29.84,76.48
2025-08-04 21:54:03,59.71,43.88,21.39,29.86,76.8
2025-08-04 21:54:04,60.08,43.88,21.4,29.89,76.73
2025-08-04 21:54:05,60.0,43.88,21.44,29.92,76.57
2025-08-04 21:54:06,60.14,44.0,21.47,29.94,76.38
2025-08-04 21:54:07,59.83,44.0,21.5,29.96,76.89
2025-08-04 21:54:08,59.96,44.0,21.52,29.99,76.68
2025-08-04 21:54:09,60.0,44.0,21.52,30.0,76.48
2025-08-04 21:54:10,59.61,44.0,21.5,30.01,76.33
2025-08-04 21:54:11,59.92,44.12,21.47,30.04,76.48
2025-08-04 21:54:12,60.0,44.12,21.42,30.06,76.45
2025-08-04 21:54:13,59.95,44.12,21.29,30.08,76.48
2025-08-04 21:54:14,59.76,44.12,21.18,30.1,76.55
2025-08-04 21:54:15,60.18,44.12,21.07,30.11,76.85
2025-08-04 21:54:16,59.99,44.12,21.0,30.13,76.4
2025-08-04 21:54:17,59.93,44.25,20.97,30.16,76.52
2025-08-04 21:54:18,59.96,44.25,20.93,30.18,76.27
2025-08-04 21:54:19,60.0,44.25,20.89,30.2,76.15
2025-08-04 21:54:20,60.06,44.25,20.85,30.23,76.62
2025-08-04 21:54:21,59.77,44.25,20.81,30.25,76.52
2025-08-04 21:54:22,59.92,44.38,20.78,30.26,76.77
2025-08-04 21:54:23,60.0,44.38,20.76,30.27,76.43
2025-08-04 21:54:24,60.41,44.38,20.71,30.29,76.23
2025-08-04 21:54:25,59.97,44.38,20.66,30.3,76.23
2025-08-04 21:54:26,59.97,44.38,20.64,30.33,76.62
2025-08-04 21:54:27,60.0,44.38,20.64,30.35,76.57
2025-08-04 21:54:29,59.82,44.38,20.62,30.36,76.11
2025-08-04 21:54:30,60.27,44.38,20.59,30.37,76.55
2025-08-04 21:54:31,60.04,44.38,20.56,30.39,76.57
2025-08-04 21:54:32,60.0,44.38,20.55,30.41,76.48
2025-08-04 21:54:33,59.98,44.5,20.53,30.42,76.52
2025-08-04 21:54:34,60.25,44.5,20.52,30.44,76.66
2025-08-04 21:54:35,60.06,44.5,20.51,30.45,76.66
2025-08-04 21:54:36,60.0,44.5,20.53,30.46,76.66
2025-08-04 21:54:37,60.13,44.5,20.56,30.48,76.33
2025-08-04 21:54:38,59.83,44.62,20.58,30.48,76.01
2025-08-04 21:54:39,59.89,44.62,20.63,30.5,76.45
2025-08-04 21:54:40,60.0,44.62,20.64,30.51,76.25
2025-08-04 21:54:41,59.73,44.62,20.66,30.52,76.4
2025-08-04 21:54:42,59.87,44.62,20.69,30.53,76.55
2025-08-04 21:54:43,60.25,44.62,20.71,30.54,76.4
2025-08-04 21:54:44,60.0,44.62,20.73,30.54,76.01
2025-08-04 21:54:45,60.25,44.62,20.71,30.56,76.48
2025-08-04 21:54:46,60.14,44.75,20.69,30.57,76.15
2025-08-04 21:54:47,59.98,44.75,20.66,30.58,76.38
2025-08-04 21:54:48,59.99,44.75,20.69,30.59,76.31
2025-08-04 21:54:49,60.29,44.62,20.75,30.6,76.36
2025-08-04 21:54:50,60.15,44.62,20.78,30.62,76.08
2025-08-04 21:54:51,59.99,44.62,20.83,30.63,76.7
2025-08-04 21:54:52,59.99,44.62,20.9,30.64,76.62
2025-08-04 21:54:53,60.05,44.62,20.97,30.65,76.36
2025-08-04 21:54:54,60.3,44.62,21.04,30.66,75.83
2025-08-04 21:54:55,59.99,44.62,21.1,30.67,76.04
2025-08-04 21:54:56,60.29,44.75,21.14,30.69,76.11
2025-08-04 21:54:57,60.15,44.75,21.15,30.7,76.25
2025-08-04 21:54:58,60.0,44.75,21.12,30.71,76.18
2025-08-04 21:54:59,59.92,44.75,21.06,30.72,76.25
2025-08-04 21:55:00,59.9,44.88,20.99,30.74,76.33
2025-08-04 21:55:01,60.15,44.88,20.98,30.76,76.13
2025-08-04 21:55:02,60.0,44.88,20.96,30.77,76.25
2025-08-04 21:55:03,60.12,44.88,20.91,30.78,76.08
2025-08-04 21:55:04,60.12,44.88,20.87,30.8,75.94
2025-08-04 21:55:05,60.31,44.88,20.86,30.81,76.18
