Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-03 13:08:22,59.96,52.75,21.07,26.76,51.94
2025-08-03 13:08:23,59.98,51.0,21.0,26.77,51.94
2025-08-03 13:08:24,59.94,49.5,20.91,26.78,51.96
2025-08-03 13:08:25,60.21,48.25,20.79,26.81,51.93
2025-08-03 13:08:26,60.0,47.12,20.77,26.83,51.82
2025-08-03 13:08:27,60.11,46.25,20.78,26.85,52.01
2025-08-03 13:08:28,60.42,45.5,20.77,26.86,52.01
2025-08-03 13:08:30,60.26,44.75,20.76,26.88,51.79
2025-08-03 13:08:31,60.0,44.25,20.78,26.91,51.74
2025-08-03 13:08:32,59.62,43.75,20.78,26.93,51.75
2025-08-03 13:08:33,60.46,43.25,20.72,26.96,51.98
2025-08-03 13:08:34,59.82,42.88,20.66,27.0,51.85
2025-08-03 13:08:35,60.0,42.62,20.61,27.01,51.97
2025-08-03 13:08:36,59.92,42.38,20.59,27.01,52.09
2025-08-03 13:08:37,60.53,42.12,20.58,27.02,52.05
2025-08-03 13:08:38,60.05,42.0,20.55,27.02,52.38
2025-08-03 13:08:39,60.0,41.75,20.55,27.03,52.1
2025-08-03 13:08:40,60.07,41.62,20.57,27.05,51.93
2025-08-03 13:08:41,60.0,41.5,20.63,27.07,52.16
2025-08-03 13:08:42,60.01,41.38,20.68,27.09,52.36
2025-08-03 13:08:43,60.43,41.38,20.7,27.11,51.94
2025-08-03 13:08:44,60.23,41.25,20.69,27.13,51.98
2025-08-03 13:08:45,60.11,41.25,20.71,27.14,52.0
2025-08-03 13:08:46,60.0,41.25,20.7,27.15,52.13
2025-08-03 13:08:47,59.95,41.25,20.67,27.16,52.13
2025-08-03 13:08:48,59.97,41.25,20.62,27.18,52.11
2025-08-03 13:08:49,60.56,41.38,20.56,27.19,52.28
2025-08-03 13:08:50,60.1,41.38,20.51,27.2,51.98
2025-08-03 13:08:51,59.99,41.38,20.5,27.21,52.14
2025-08-03 13:08:52,60.39,41.38,20.51,27.22,52.12
2025-08-03 13:08:53,60.26,41.38,20.46,27.25,52.2
2025-08-03 13:08:54,59.89,41.38,20.4,27.28,52.27
2025-08-03 13:08:55,59.99,41.38,20.41,27.29,52.15
2025-08-03 13:08:56,60.37,41.38,20.45,27.31,52.01
2025-08-03 13:08:57,59.77,41.38,20.5,27.31,52.32
2025-08-03 13:08:58,60.01,41.38,20.59,27.3,52.29
2025-08-03 13:08:59,60.2,41.38,20.7,27.29,52.37
2025-08-03 13:09:00,59.84,41.38,20.84,27.3,52.26
2025-08-03 13:09:01,59.9,41.38,20.93,27.3,52.49
2025-08-03 13:09:02,60.0,41.38,20.96,27.31,52.42
2025-08-03 13:09:03,60.12,41.38,20.87,27.32,52.51
2025-08-03 13:09:04,60.1,41.38,20.76,27.34,52.45
2025-08-03 13:09:05,60.0,41.38,20.68,27.36,52.16
2025-08-03 13:09:06,59.85,41.38,20.64,27.36,52.47
2025-08-03 13:09:07,60.08,41.5,20.63,27.34,52.59
2025-08-03 13:09:08,60.35,41.5,20.59,27.34,52.33
2025-08-03 13:09:09,60.0,41.5,20.56,27.35,52.48
2025-08-03 13:09:10,60.13,41.5,20.56,27.36,52.4
2025-08-03 13:09:11,59.92,41.5,20.56,27.37,52.57
2025-08-03 13:09:12,60.3,41.5,20.62,27.38,52.69
2025-08-03 13:09:13,59.99,41.5,20.67,27.39,52.55
2025-08-03 13:09:14,60.0,41.5,20.72,27.4,52.45
2025-08-03 13:09:15,60.18,41.5,20.76,27.41,52.58
2025-08-03 13:09:16,59.99,41.5,20.81,27.43,52.51
2025-08-03 13:09:17,60.46,41.62,20.86,27.44,52.59
2025-08-03 13:09:18,60.36,41.62,20.92,27.44,52.65
2025-08-03 13:09:19,59.68,41.62,20.94,27.44,52.61
2025-08-03 13:09:20,60.01,41.62,20.96,27.45,52.78
2025-08-03 13:09:21,60.07,41.62,20.98,27.46,52.58
2025-08-03 13:09:22,60.28,41.62,20.99,27.49,52.76
2025-08-03 13:09:23,59.9,41.62,20.99,27.51,52.88
2025-08-03 13:09:24,60.0,41.62,21.0,27.52,52.61
2025-08-03 13:09:25,59.5,41.62,21.03,27.52,52.81
2025-08-03 13:09:26,59.86,41.62,21.0,27.51,52.79
2025-08-03 13:09:27,59.99,41.62,20.97,27.47,52.76
2025-08-03 13:09:28,60.39,41.62,20.92,27.44,52.76
2025-08-03 13:09:29,60.04,41.62,20.9,27.41,52.63
2025-08-03 13:09:30,60.0,41.62,20.89,27.39,52.69
2025-08-03 13:09:31,60.34,41.62,20.91,27.39,52.31
2025-08-03 13:09:32,59.78,41.62,20.92,27.39,52.83
2025-08-03 13:09:33,60.09,41.5,20.92,27.39,52.71
2025-08-03 13:09:34,59.99,41.5,20.93,27.41,52.91
2025-08-03 13:09:35,60.11,41.5,20.96,27.42,52.81
2025-08-03 13:09:36,60.23,41.5,20.99,27.44,53.1
2025-08-03 13:09:37,60.0,41.5,20.99,27.45,52.99
2025-08-03 13:09:38,59.65,41.62,20.99,27.48,52.68
2025-08-03 13:09:39,60.05,41.62,20.97,27.49,52.74
2025-08-03 13:09:40,60.01,41.62,20.97,27.47,52.78
2025-08-03 13:09:41,60.1,41.62,20.96,27.47,52.89
2025-08-03 13:09:42,59.58,41.62,20.98,27.47,52.95
2025-08-03 13:09:43,60.01,41.62,21.0,27.47,52.99
2025-08-03 13:09:44,60.36,41.62,21.02,27.47,52.89
2025-08-03 13:09:45,59.96,41.62,21.04,27.49,52.76
2025-08-03 13:09:46,59.99,41.62,21.05,27.5,53.19
2025-08-03 13:09:47,59.65,41.62,21.05,27.51,53.14
2025-08-03 13:09:48,60.15,41.62,21.07,27.52,53.03
2025-08-03 13:09:49,60.22,41.75,21.09,27.53,52.74
2025-08-03 13:09:50,60.0,41.62,21.11,27.53,52.85
2025-08-03 13:09:51,60.24,41.75,21.12,27.53,53.12
2025-08-03 13:09:52,60.0,41.62,21.14,27.54,52.96
2025-08-03 13:09:53,60.34,41.75,21.15,27.56,53.22
2025-08-03 13:09:54,60.26,41.75,21.15,27.58,53.0
2025-08-03 13:09:55,60.0,41.75,21.15,27.59,53.06
2025-08-03 13:09:56,60.12,41.75,21.15,27.59,53.2
2025-08-03 13:09:57,60.68,41.75,21.14,27.6,53.14
2025-08-03 13:09:58,60.3,41.75,21.15,27.6,53.35
2025-08-03 13:09:59,59.99,41.75,21.18,27.59,53.2
2025-08-03 13:10:00,59.97,41.75,21.18,27.59,53.3
2025-08-03 13:10:01,59.99,41.75,21.16,27.58,53.07
2025-08-03 13:10:02,60.22,41.75,21.14,27.58,53.28
2025-08-03 13:10:03,60.0,41.75,21.12,27.58,53.19
2025-08-03 13:10:04,60.32,41.75,21.11,27.59,53.02
2025-08-03 13:10:05,60.02,41.75,21.12,27.59,53.31
2025-08-03 13:10:06,60.03,41.75,21.14,27.59,53.23
2025-08-03 13:10:07,60.0,41.75,21.16,27.58,53.1
2025-08-03 13:10:08,59.78,41.75,21.14,27.57,53.1
2025-08-03 13:10:09,60.18,41.75,21.11,27.56,53.25
2025-08-03 13:10:10,60.0,41.75,21.07,27.54,53.13
2025-08-03 13:10:11,60.22,41.75,21.05,27.54,53.62
2025-08-03 13:10:12,59.93,41.75,21.0,27.55,53.31
2025-08-03 13:10:13,60.44,41.75,20.97,27.57,53.24
2025-08-03 13:10:14,59.99,41.75,20.96,27.58,53.32
2025-08-03 13:10:15,60.23,41.75,20.94,27.55,53.38
2025-08-03 13:10:16,60.07,41.75,20.96,27.52,53.51
2025-08-03 13:10:17,60.19,41.75,20.98,27.5,53.18
2025-08-03 13:10:18,60.02,41.75,20.98,27.49,53.26
2025-08-03 13:10:19,60.0,41.75,20.98,27.48,53.52
2025-08-03 13:10:20,60.01,41.62,20.97,27.48,53.29
2025-08-03 13:10:21,60.22,41.62,20.96,27.46,53.52
2025-08-03 13:10:22,60.0,41.62,20.98,27.47,53.71
2025-08-03 13:10:23,60.2,41.62,20.99,27.45,53.33
2025-08-03 13:10:24,59.75,41.62,20.99,27.43,53.33
2025-08-03 13:10:25,60.14,41.62,20.97,27.41,53.38
2025-08-03 13:10:26,60.0,41.62,20.94,27.4,53.42
2025-08-03 13:10:27,60.12,41.62,20.92,27.4,53.55
2025-08-03 13:10:28,60.31,41.62,20.87,27.41,53.73
2025-08-03 13:10:29,60.0,41.62,20.85,27.41,53.51
2025-08-03 13:10:30,60.2,41.62,20.87,27.41,53.42
2025-08-03 13:10:31,60.21,41.62,20.92,27.41,53.51
2025-08-03 13:10:32,60.35,41.62,20.93,27.38,53.6
2025-08-03 13:10:33,60.0,41.62,20.94,27.37,53.61
2025-08-03 13:10:34,59.95,41.62,20.93,27.36,53.68
2025-08-03 13:10:35,60.3,41.62,20.92,27.35,53.72
2025-08-03 13:10:36,60.06,41.62,20.88,27.33,53.69
2025-08-03 13:10:37,60.0,41.62,20.85,27.32,53.46
2025-08-03 13:10:38,60.26,41.62,20.84,27.33,53.36
2025-08-03 13:10:39,60.22,41.62,20.84,27.34,53.89
2025-08-03 13:10:40,60.1,41.5,20.85,27.34,53.65
2025-08-03 13:10:41,60.0,41.5,20.88,27.35,53.57
2025-08-03 13:10:42,59.97,41.5,20.93,27.35,53.65
2025-08-03 13:10:43,60.1,41.5,20.94,27.36,53.77
2025-08-03 13:10:44,60.0,41.5,20.91,27.37,53.52
2025-08-03 13:10:45,60.31,41.5,20.92,27.4,53.39
2025-08-03 13:10:46,60.13,41.5,20.93,27.44,53.78
2025-08-03 13:10:47,60.0,41.5,20.93,27.46,53.71
2025-08-03 13:10:48,60.31,41.62,20.92,27.46,53.73
2025-08-03 13:10:49,60.07,41.62,20.92,27.45,53.93
2025-08-03 13:10:50,60.36,41.62,20.93,27.45,53.64
2025-08-03 13:10:51,60.05,41.62,20.96,27.44,53.7
2025-08-03 13:10:52,59.93,41.75,20.98,27.43,53.7
2025-08-03 13:10:53,60.0,41.75,21.0,27.41,53.58
2025-08-03 13:10:54,59.67,41.62,21.0,27.39,53.78
2025-08-03 13:10:55,59.9,41.62,21.0,27.39,53.85
2025-08-03 13:10:56,59.91,41.62,21.0,27.39,53.78
2025-08-03 13:10:57,60.0,41.62,20.99,27.39,54.0
2025-08-03 13:10:58,59.88,41.62,20.97,27.37,53.72
2025-08-03 13:10:59,60.02,41.62,20.96,27.36,53.89
2025-08-03 13:11:00,60.2,41.62,20.94,27.32,53.96
2025-08-03 13:11:01,59.84,41.62,20.92,27.29,53.83
2025-08-03 13:11:02,60.01,41.62,20.87,27.27,53.88
2025-08-03 13:11:03,59.71,41.62,20.85,27.29,53.9
2025-08-03 13:11:04,60.08,41.62,20.85,27.32,53.83
2025-08-03 13:11:05,60.0,41.62,20.85,27.35,53.7
2025-08-03 13:11:06,60.15,41.62,20.87,27.36,53.96
2025-08-03 13:11:07,60.12,41.62,20.88,27.35,53.68
2025-08-03 13:11:08,60.0,41.62,20.89,27.35,53.87
2025-08-03 13:11:09,60.45,41.62,20.91,27.34,53.64
2025-08-03 13:11:10,60.04,41.62,20.96,27.33,53.85
2025-08-03 13:11:11,60.07,41.62,21.0,27.32,54.16
2025-08-03 13:11:12,60.0,41.62,21.05,27.32,53.99
2025-08-03 13:11:13,60.08,41.62,21.07,27.34,53.99
2025-08-03 13:11:14,60.08,41.62,21.09,27.35,53.96
2025-08-03 13:11:16,60.0,41.62,21.1,27.34,53.99
2025-08-03 13:11:17,60.02,41.62,21.07,27.33,53.91
2025-08-03 13:11:18,60.13,41.62,21.07,27.33,54.0
2025-08-03 13:11:19,59.95,41.62,21.07,27.34,53.77
2025-08-03 13:11:20,60.0,41.5,21.01,27.32,54.08
2025-08-03 13:11:21,59.95,41.5,20.92,27.3,53.9
