Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-06 21:03:50,60.07,46.75,21.39,27.15,61.81
2025-08-06 21:03:51,60.01,45.88,21.39,27.18,62.1
2025-08-06 21:03:52,59.94,45.12,21.39,27.21,62.01
2025-08-06 21:03:53,60.0,44.62,21.39,27.23,61.77
2025-08-06 21:03:54,59.89,44.0,21.39,27.28,61.96
2025-08-06 21:03:55,60.02,43.62,21.38,27.32,62.15
2025-08-06 21:03:56,60.03,43.25,21.37,27.37,61.9
2025-08-06 21:03:57,60.14,42.88,21.36,27.43,61.97
2025-08-06 21:03:58,60.04,42.62,21.36,27.47,62.15
2025-08-06 21:03:59,60.2,42.38,21.36,27.52,62.0
2025-08-06 21:04:00,59.88,42.25,21.36,27.56,61.83
2025-08-06 21:04:01,60.0,42.12,21.35,27.6,61.93
2025-08-06 21:04:02,60.19,42.0,21.35,27.64,61.95
2025-08-06 21:04:03,60.0,41.88,21.36,27.67,61.62
2025-08-06 21:04:04,60.11,41.75,21.36,27.71,62.01
2025-08-06 21:04:05,59.92,41.75,21.35,27.74,62.04
2025-08-06 21:04:06,60.13,41.75,21.35,27.78,61.82
2025-08-06 21:04:07,59.68,41.75,21.36,27.82,62.0
2025-08-06 21:04:08,60.06,41.75,21.38,27.86,62.04
2025-08-06 21:04:09,60.07,41.75,21.39,27.9,61.77
2025-08-06 21:04:10,60.0,41.75,21.4,27.94,61.65
2025-08-06 21:04:11,60.5,41.75,21.41,27.97,62.0
2025-08-06 21:04:12,60.24,41.88,21.4,28.02,61.93
2025-08-06 21:04:13,60.18,41.88,21.4,28.05,62.11
2025-08-06 21:04:14,60.06,41.88,21.41,28.08,62.1
2025-08-06 21:04:15,59.97,42.0,21.41,28.12,62.08
2025-08-06 21:04:16,60.0,42.0,21.41,28.16,62.06
2025-08-06 21:04:17,60.29,42.0,21.41,28.2,61.72
2025-08-06 21:04:18,60.09,42.12,21.39,28.26,61.9
2025-08-06 21:04:19,60.61,42.12,21.38,28.3,62.11
2025-08-06 21:04:20,59.99,42.12,21.37,28.35,61.82
2025-08-06 21:04:21,60.0,42.12,21.36,28.37,61.76
2025-08-06 21:04:22,59.96,42.12,21.37,28.41,62.06
2025-08-06 21:04:23,59.9,42.25,21.39,28.44,61.94
2025-08-06 21:04:24,60.0,42.25,21.41,28.48,62.14
2025-08-06 21:04:25,60.04,42.25,21.41,28.51,62.1
2025-08-06 21:04:26,60.12,42.25,21.41,28.53,61.9
2025-08-06 21:04:27,60.17,42.38,21.39,28.57,61.9
2025-08-06 21:04:28,60.0,42.38,21.38,28.59,62.11
2025-08-06 21:04:29,59.71,42.38,21.37,28.62,62.15
2025-08-06 21:04:30,60.01,42.38,21.36,28.66,61.86
2025-08-06 21:04:31,60.0,42.5,21.36,28.69,62.03
2025-08-06 21:04:32,60.0,42.5,21.36,28.72,61.74
2025-08-06 21:04:33,59.78,42.5,21.37,28.75,61.81
2025-08-06 21:04:34,59.92,42.5,21.38,28.77,61.7
2025-08-06 21:04:35,60.0,42.62,21.37,28.8,61.86
2025-08-06 21:04:36,59.93,42.62,21.36,28.83,62.2
2025-08-06 21:04:37,60.09,42.62,21.37,28.85,61.96
2025-08-06 21:04:38,60.0,42.62,21.37,28.87,62.11
