Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-03 08:59:08,60.13,52.12,17.99,26.88,56.2
2025-08-03 08:59:09,59.86,50.62,17.97,26.93,56.0
2025-08-03 08:59:10,60.14,49.12,17.97,26.98,56.18
2025-08-03 08:59:11,60.0,48.0,17.97,27.01,55.95
2025-08-03 08:59:12,59.65,47.0,17.98,27.06,56.25
2025-08-03 08:59:13,60.03,46.12,17.99,27.07,55.87
2025-08-03 08:59:14,59.93,45.38,18.0,27.09,56.16
2025-08-03 08:59:15,60.01,44.75,18.0,27.1,56.18
2025-08-03 08:59:16,59.89,44.25,18.0,27.12,55.92
2025-08-03 08:59:17,59.84,43.75,18.0,27.14,55.75
2025-08-03 08:59:18,60.21,43.38,18.0,27.16,56.28
2025-08-03 08:59:19,60.11,43.0,17.99,27.2,56.13
2025-08-03 08:59:20,60.0,42.75,17.99,27.22,56.04
2025-08-03 08:59:21,59.81,42.5,17.98,27.26,56.18
2025-08-03 08:59:22,59.76,42.25,17.98,27.29,56.07
2025-08-03 08:59:23,59.85,42.12,17.98,27.31,56.31
2025-08-03 08:59:24,59.9,42.0,17.98,27.34,55.98
2025-08-03 08:59:25,60.0,41.88,17.97,27.36,56.28
2025-08-03 08:59:26,59.95,41.75,17.97,27.38,56.13
2025-08-03 08:59:27,59.95,41.62,17.96,27.4,55.94
2025-08-03 08:59:28,59.95,41.62,17.94,27.4,56.22
2025-08-03 08:59:29,59.81,41.5,17.92,27.43,56.17
2025-08-03 08:59:30,60.0,41.5,17.91,27.45,56.28
2025-08-03 08:59:31,59.99,41.5,17.91,27.49,56.19
2025-08-03 08:59:32,60.37,41.5,17.92,27.5,56.25
2025-08-03 08:59:34,59.75,41.5,17.93,27.5,56.19
2025-08-03 08:59:35,59.82,41.62,17.93,27.48,56.24
2025-08-03 08:59:36,60.0,41.5,17.93,27.47,56.32
2025-08-03 08:59:37,60.05,41.62,17.91,27.48,56.51
2025-08-03 08:59:38,59.99,41.62,17.91,27.49,56.36
2025-08-03 08:59:39,59.9,41.62,17.91,27.49,56.36
2025-08-03 08:59:40,59.88,41.62,17.91,27.5,56.27
2025-08-03 08:59:41,60.0,41.62,17.91,27.51,56.31
2025-08-03 08:59:42,59.95,41.62,17.91,27.53,56.4
2025-08-03 08:59:43,60.3,41.62,17.9,27.53,56.14
2025-08-03 08:59:44,60.04,41.75,17.89,27.54,56.38
2025-08-03 08:59:45,59.91,41.75,17.89,27.55,56.3
2025-08-03 08:59:46,60.0,41.75,17.89,27.56,56.45
2025-08-03 08:59:47,59.97,41.75,17.89,27.57,56.35
2025-08-03 08:59:48,60.2,41.75,17.9,27.58,56.44
2025-08-03 08:59:49,59.95,41.75,17.91,27.59,56.22
2025-08-03 08:59:50,59.9,41.75,17.93,27.59,56.31
2025-08-03 08:59:51,60.0,41.75,17.96,27.61,56.33
2025-08-03 08:59:52,59.92,41.75,17.97,27.63,56.4
