Timestamp,Ppkg,Tdie,Tair_in,Tair_out
2025-07-20 18:21:12,59.96,50.38,19.13,31.0
2025-07-20 18:21:13,59.91,49.5,19.09,31.0
2025-07-20 18:21:14,60.0,48.88,19.16,31.02
2025-07-20 18:21:15,60.17,48.25,19.23,31.04
2025-07-20 18:21:16,60.09,47.75,19.23,31.05
2025-07-20 18:21:18,60.02,47.25,19.2,31.06
2025-07-20 18:21:19,60.03,46.88,19.2,31.09
2025-07-20 18:21:20,60.04,46.62,19.19,31.13
2025-07-20 18:21:21,59.96,46.25,19.22,31.16
2025-07-20 18:21:22,59.95,46.12,19.24,31.19
2025-07-20 18:21:23,60.0,45.88,19.29,31.21
2025-07-20 18:21:24,59.79,45.75,19.33,31.24
2025-07-20 18:21:25,60.24,45.62,19.33,31.28
2025-07-20 18:21:26,59.92,45.5,19.31,31.29
2025-07-20 18:21:27,59.87,45.38,19.32,31.33
2025-07-20 18:21:28,59.95,45.25,19.33,31.35
2025-07-20 18:21:29,60.18,45.25,19.32,31.38
2025-07-20 18:21:30,60.0,45.25,19.3,31.4
2025-07-20 18:21:31,59.91,45.25,19.26,31.43
2025-07-20 18:21:32,60.29,45.25,19.23,31.45
2025-07-20 18:21:33,60.01,45.25,19.19,31.47
2025-07-20 18:21:34,60.17,45.25,19.16,31.49
2025-07-20 18:21:35,59.98,45.25,19.16,31.53
2025-07-20 18:21:36,60.0,45.25,19.13,31.55
2025-07-20 18:21:37,60.12,45.25,19.15,31.57
2025-07-20 18:21:38,60.41,45.38,19.15,31.58
2025-07-20 18:21:39,60.1,45.38,19.17,31.6
2025-07-20 18:21:40,60.13,45.38,19.18,31.62
2025-07-20 18:21:41,60.31,45.38,19.14,31.64
2025-07-20 18:21:42,60.18,45.38,19.19,31.66
2025-07-20 18:21:43,60.0,45.38,19.13,31.66
2025-07-20 18:21:44,60.15,45.38,19.06,31.69
2025-07-20 18:21:45,59.76,45.5,19.02,31.71
2025-07-20 18:21:46,59.91,45.5,18.99,31.74
2025-07-20 18:21:47,59.87,45.5,18.97,31.75
