Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-15 16:25:51,60.04,51.62,20.23,32.77,34.04,34.77
2025-06-15 16:25:52,60.0,50.88,20.22,32.77,34.06,34.76
2025-06-15 16:25:53,60.07,50.25,20.23,32.76,34.06,34.78
2025-06-15 16:25:54,60.2,49.75,20.26,32.76,34.04,34.76
2025-06-15 16:25:55,60.0,49.25,20.26,32.76,34.06,34.77
2025-06-15 16:25:56,60.0,48.88,20.26,32.75,34.05,34.78
2025-06-15 16:25:57,59.89,48.5,20.27,32.75,34.06,34.78
2025-06-15 16:25:58,60.15,48.25,20.21,32.75,34.08,34.81
2025-06-15 16:25:59,60.0,48.0,20.16,32.75,34.06,34.81
2025-06-15 16:26:00,60.12,47.75,20.15,32.75,34.08,34.86
2025-06-15 16:26:01,59.9,47.62,20.12,32.75,34.11,34.8
2025-06-15 16:26:02,61.11,47.38,20.14,32.75,34.04,34.85
2025-06-15 16:26:03,60.01,47.25,20.14,32.75,34.02,34.87
2025-06-15 16:26:04,60.11,47.12,20.18,32.75,34.05,34.86
2025-06-15 16:26:05,59.93,47.12,20.24,32.74,34.06,34.88
2025-06-15 16:26:06,60.0,47.0,20.24,32.74,34.05,34.89
2025-06-15 16:26:07,60.1,46.88,20.2,32.73,34.08,34.9
2025-06-15 16:26:08,60.07,46.88,20.17,32.73,34.07,34.89
2025-06-15 16:26:09,60.03,46.88,20.14,32.73,34.06,34.91
2025-06-15 16:26:10,59.96,46.75,20.12,32.73,34.07,34.92
2025-06-15 16:26:11,60.0,46.75,20.12,32.72,34.08,34.94
2025-06-15 16:26:12,59.84,46.75,20.13,32.71,34.07,34.93
2025-06-15 16:26:13,59.97,46.75,20.14,32.72,34.11,34.97
2025-06-15 16:26:14,60.03,46.75,20.23,32.72,34.09,34.97
2025-06-15 16:26:15,60.0,46.75,20.35,32.72,34.13,35.01
2025-06-15 16:26:16,59.81,46.88,20.37,32.71,34.08,35.0
2025-06-15 16:26:17,60.28,46.75,20.36,32.71,34.11,35.01
2025-06-15 16:26:18,60.0,46.75,20.34,32.71,34.12,35.02
