Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-07-13 18:13:42,60.06,53.25,19.87,31.49,33.65,31.59
2025-07-13 18:13:43,60.14,52.0,19.87,31.52,33.68,31.6
2025-07-13 18:13:44,60.0,51.12,19.87,31.55,33.67,31.61
2025-07-13 18:13:45,60.02,50.25,19.87,31.56,33.68,31.58
2025-07-13 18:13:46,60.01,49.5,19.87,31.58,33.69,31.57
2025-07-13 18:13:47,60.0,48.88,19.87,31.6,33.68,31.59
2025-07-13 18:13:48,59.79,48.38,19.87,31.63,33.68,31.59
2025-07-13 18:13:49,60.17,47.88,19.87,31.66,33.7,31.59
2025-07-13 18:13:50,59.99,47.5,19.87,31.69,33.72,31.61
2025-07-13 18:13:51,59.9,47.25,19.87,31.72,33.72,31.59
2025-07-13 18:13:52,59.74,47.0,19.87,31.76,33.7,31.59
2025-07-13 18:13:53,59.93,46.75,19.87,31.78,33.72,31.57
2025-07-13 18:13:54,60.0,46.5,19.86,31.81,33.72,31.57
2025-07-13 18:13:55,60.0,46.38,19.85,31.85,33.76,31.57
2025-07-13 18:13:56,60.13,46.25,19.85,31.88,33.74,31.56
2025-07-13 18:13:57,60.0,46.12,19.85,31.91,33.76,31.59
2025-07-13 18:13:58,59.91,46.12,19.85,31.94,33.8,31.59
2025-07-13 18:13:59,59.85,46.0,19.86,31.96,33.77,31.59
2025-07-13 18:14:00,60.32,46.0,19.86,31.99,33.78,31.57
2025-07-13 18:14:01,59.76,45.88,19.86,32.02,33.82,31.59
2025-07-13 18:14:02,60.01,45.88,19.87,32.05,33.84,31.6
2025-07-13 18:14:03,60.04,46.0,19.87,32.07,33.83,31.61
2025-07-13 18:14:04,60.05,46.0,19.87,32.1,33.82,31.63
2025-07-13 18:14:05,60.19,46.0,19.87,32.13,33.87,31.63
2025-07-13 18:14:06,60.0,46.12,19.87,32.16,33.88,31.61
2025-07-13 18:14:07,59.95,46.12,19.87,32.19,33.88,31.62
2025-07-13 18:14:08,59.97,46.12,19.87,32.21,33.91,31.65
2025-07-13 18:14:09,60.01,46.12,19.87,32.25,33.9,31.67
2025-07-13 18:14:10,59.94,46.25,19.87,32.27,33.91,31.66
2025-07-13 18:14:11,60.23,46.25,19.87,32.3,33.9,31.65
2025-07-13 18:14:12,60.06,46.25,19.87,32.34,33.93,31.67
2025-07-13 18:14:13,60.0,46.25,19.87,32.36,33.96,31.69
2025-07-13 18:14:14,59.99,46.25,19.87,32.38,33.93,31.68
2025-07-13 18:14:15,60.0,46.38,19.87,32.41,33.94,31.69
2025-07-13 18:14:16,60.0,46.38,19.87,32.45,33.95,31.71
2025-07-13 18:14:17,59.89,46.38,19.87,32.47,33.95,31.69
2025-07-13 18:14:18,60.16,46.38,19.86,32.49,33.92,31.68
2025-07-13 18:14:19,60.0,46.5,19.86,32.52,33.99,31.71
2025-07-13 18:14:20,60.03,46.5,19.86,32.54,34.01,31.75
2025-07-13 18:14:21,60.16,46.5,19.86,32.57,33.99,31.75
