Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-14 15:41:29,59.99,52.12,21.02,29.22,32.55,32.54
2025-06-14 15:41:30,59.63,51.0,21.0,29.23,32.52,32.55
2025-06-14 15:41:31,60.07,49.88,21.0,29.23,32.52,32.56
2025-06-14 15:41:32,60.0,49.0,21.03,29.23,32.48,32.57
2025-06-14 15:41:33,59.47,48.25,21.08,29.21,32.52,32.59
2025-06-14 15:41:34,60.07,47.5,21.09,29.2,32.5,32.55
2025-06-14 15:41:35,60.0,47.0,21.1,29.2,32.48,32.56
2025-06-14 15:41:36,59.88,46.5,21.1,29.21,32.5,32.54
2025-06-14 15:41:37,60.05,46.12,21.13,29.22,32.51,32.59
2025-06-14 15:41:38,59.78,45.75,21.14,29.23,32.5,32.58
2025-06-14 15:41:39,60.01,45.38,21.14,29.24,32.52,32.57
2025-06-14 15:41:40,60.45,45.12,21.12,29.24,32.53,32.61
2025-06-14 15:41:41,60.12,44.88,21.11,29.24,32.5,32.59
2025-06-14 15:41:42,59.98,44.75,21.08,29.26,32.52,32.62
2025-06-14 15:41:43,59.95,44.5,21.04,29.27,32.52,32.6
2025-06-14 15:41:44,60.0,44.38,21.02,29.28,32.53,32.63
2025-06-14 15:41:45,60.21,44.25,21.0,29.28,32.53,32.61
2025-06-14 15:41:46,59.77,44.25,21.0,29.3,32.51,32.63
2025-06-14 15:41:47,60.0,44.12,21.0,29.33,32.48,32.65
2025-06-14 15:41:48,60.15,44.12,21.0,29.33,32.52,32.65
2025-06-14 15:41:49,60.03,44.0,20.99,29.35,32.52,32.65
2025-06-14 15:41:50,60.01,44.0,20.97,29.36,32.54,32.63
2025-06-14 15:41:51,60.0,44.0,20.97,29.38,32.52,32.68
2025-06-14 15:41:52,60.02,43.88,20.98,29.4,32.5,32.67
2025-06-14 15:41:53,60.14,43.88,20.96,29.41,32.48,32.66
2025-06-14 15:41:54,60.0,43.88,20.94,29.42,32.54,32.66
2025-06-14 15:41:55,60.16,44.0,20.92,29.42,32.5,32.66
2025-06-14 15:41:56,59.92,44.0,20.92,29.42,32.49,32.7
2025-06-14 15:41:57,59.89,44.0,20.93,29.41,32.51,32.72
2025-06-14 15:41:58,60.0,44.0,20.93,29.42,32.52,32.72
2025-06-14 15:41:59,59.87,44.0,20.92,29.42,32.51,32.72
2025-06-14 15:42:00,60.13,44.0,20.9,29.44,32.49,32.75
2025-06-14 15:42:01,60.02,44.0,20.87,29.45,32.5,32.7
2025-06-14 15:42:02,60.01,44.0,20.85,29.45,32.47,32.74
