Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-08 20:06:32,59.98,45.0,19.21,28.46,30.51
2025-08-08 20:06:33,60.09,44.62,19.23,28.44,30.43
2025-08-08 20:06:34,60.39,44.25,19.26,28.42,30.74
2025-08-08 20:06:35,60.77,43.88,19.33,28.39,30.61
2025-08-08 20:06:36,60.0,43.62,19.36,28.39,30.62
2025-08-08 20:06:37,60.0,43.38,19.37,28.42,30.85
2025-08-08 20:06:38,60.0,43.12,19.34,28.46,30.9
2025-08-08 20:06:39,60.12,43.0,19.29,28.5,31.01
2025-08-08 20:06:40,59.66,42.88,19.24,28.52,31.18
2025-08-08 20:06:41,60.01,42.75,19.2,28.57,30.87
2025-08-08 20:06:42,60.04,42.62,19.16,28.59,30.88
2025-08-08 20:06:43,60.09,42.62,19.12,28.6,31.1
2025-08-08 20:06:44,59.8,42.5,19.06,28.62,31.38
2025-08-08 20:06:45,59.9,42.5,19.04,28.64,31.23
2025-08-08 20:06:46,60.22,42.5,19.06,28.66,30.82
2025-08-08 20:06:47,59.93,42.5,19.1,28.67,31.18
2025-08-08 20:06:48,60.17,42.5,19.12,28.68,31.05
2025-08-08 20:06:49,60.0,42.5,19.11,28.69,31.28
2025-08-08 20:06:50,60.02,42.5,19.09,28.7,31.21
2025-08-08 20:06:51,60.04,42.5,19.1,28.72,30.91
2025-08-08 20:06:52,61.03,42.5,19.12,28.75,31.02
2025-08-08 20:06:53,59.88,42.5,19.1,28.76,31.16
2025-08-08 20:06:54,59.99,42.5,19.06,28.77,31.15
2025-08-08 20:06:55,60.4,42.5,19.05,28.79,31.46
2025-08-08 20:06:56,60.11,42.5,19.02,28.8,31.13
2025-08-08 20:06:57,59.92,42.62,19.04,28.82,31.24
2025-08-08 20:06:58,58.88,42.62,19.08,28.83,31.27
2025-08-08 20:06:59,60.01,42.62,19.08,28.84,31.63
2025-08-08 20:07:00,59.88,42.62,19.07,28.85,31.55
2025-08-08 20:07:01,60.04,42.62,19.07,28.87,31.7
2025-08-08 20:07:02,60.0,42.62,19.06,28.89,31.39
2025-08-08 20:07:03,59.89,42.62,19.06,28.91,31.37
2025-08-08 20:07:04,60.38,42.62,19.05,28.92,31.47
2025-08-08 20:07:05,60.01,42.62,19.04,28.92,31.6
2025-08-08 20:07:06,59.93,42.62,19.02,28.94,31.79
2025-08-08 20:07:07,59.69,42.62,19.02,28.95,31.55
2025-08-08 20:07:08,59.69,42.62,19.0,28.96,31.59
2025-08-08 20:07:09,60.56,42.62,18.97,28.97,31.85
2025-08-08 20:07:10,60.22,42.62,18.93,28.98,31.83
2025-08-08 20:07:11,59.99,42.62,18.93,29.0,31.63
2025-08-08 20:07:12,60.05,42.75,18.93,29.01,31.96
2025-08-08 20:07:13,60.16,42.75,18.95,29.03,32.16
2025-08-08 20:07:14,59.77,42.75,18.98,29.05,31.74
2025-08-08 20:07:15,60.2,42.75,19.0,29.05,31.81
2025-08-08 20:07:16,59.96,42.75,19.02,29.07,31.96
2025-08-08 20:07:17,60.0,42.75,19.02,29.08,32.09
2025-08-08 20:07:18,60.0,42.75,19.01,29.08,32.08
2025-08-08 20:07:19,60.27,42.75,19.02,29.09,32.26
2025-08-08 20:07:20,59.93,42.75,19.03,29.09,31.85
2025-08-08 20:07:21,59.96,42.75,19.02,29.1,32.21
2025-08-08 20:07:22,60.0,42.75,19.0,29.11,32.01
2025-08-08 20:07:23,60.03,42.75,19.0,29.13,32.34
2025-08-08 20:07:24,60.09,42.88,18.98,29.14,32.49
2025-08-08 20:07:25,60.0,42.88,18.98,29.14,32.22
2025-08-08 20:07:26,59.97,42.88,19.0,29.16,32.32
2025-08-08 20:07:27,60.35,42.88,19.01,29.16,32.46
2025-08-08 20:07:28,60.27,42.88,19.05,29.17,32.49
2025-08-08 20:07:29,60.0,42.88,19.06,29.18,32.47
2025-08-08 20:07:30,59.88,42.88,19.06,29.19,32.36
2025-08-08 20:07:31,59.58,42.88,19.03,29.2,32.61
2025-08-08 20:07:32,60.06,42.88,19.0,29.21,32.32
2025-08-08 20:07:33,60.0,42.88,18.97,29.22,32.56
2025-08-08 20:07:34,59.93,42.88,19.0,29.23,32.47
2025-08-08 20:07:35,60.25,43.0,19.03,29.24,32.48
2025-08-08 20:07:36,60.12,43.0,19.06,29.25,32.91
2025-08-08 20:07:37,60.25,43.0,19.1,29.26,32.56
2025-08-08 20:07:38,60.0,43.0,19.09,29.27,32.26
2025-08-08 20:07:39,60.02,43.0,19.09,29.28,32.45
2025-08-08 20:07:40,59.78,43.0,19.08,29.29,32.79
2025-08-08 20:07:41,60.0,43.0,19.05,29.3,32.67
2025-08-08 20:07:42,60.0,43.0,19.03,29.31,32.65
2025-08-08 20:07:43,60.1,43.0,19.02,29.32,32.79
2025-08-08 20:07:44,59.75,43.0,19.04,29.32,32.79
2025-08-08 20:07:45,60.25,43.0,19.04,29.33,32.89
2025-08-08 20:07:46,60.0,43.0,19.03,29.33,32.86
2025-08-08 20:07:47,60.42,43.0,19.07,29.34,32.77
2025-08-08 20:07:48,61.15,43.0,19.14,29.35,32.99
2025-08-08 20:07:49,59.87,43.12,19.19,29.36,32.96
2025-08-08 20:07:50,59.63,43.12,19.21,29.36,33.01
2025-08-08 20:07:51,60.01,43.12,19.19,29.36,32.8
2025-08-08 20:07:52,60.0,43.12,19.17,29.37,32.86
2025-08-08 20:07:53,60.06,43.0,19.14,29.38,33.15
2025-08-08 20:07:54,59.82,43.0,19.11,29.38,32.88
2025-08-08 20:07:55,59.91,43.12,19.09,29.39,33.06
2025-08-08 20:07:56,60.0,43.0,19.09,29.4,32.82
2025-08-08 20:07:57,59.95,43.0,19.12,29.41,33.13
2025-08-08 20:07:58,60.03,43.12,19.13,29.41,33.21
2025-08-08 20:07:59,59.99,43.12,19.16,29.42,33.23
2025-08-08 20:08:00,60.0,43.12,19.18,29.42,33.47
2025-08-08 20:08:01,59.88,43.12,19.17,29.43,33.28
2025-08-08 20:08:03,60.23,43.12,19.14,29.44,33.38
2025-08-08 20:08:04,59.89,43.12,19.14,29.45,33.1
2025-08-08 20:08:05,60.05,43.12,19.13,29.46,33.32
2025-08-08 20:08:06,60.0,43.12,19.13,29.46,33.21
2025-08-08 20:08:07,60.04,43.12,19.18,29.47,33.26
2025-08-08 20:08:08,60.04,43.12,19.19,29.47,33.35
2025-08-08 20:08:09,60.08,43.25,19.2,29.48,33.43
2025-08-08 20:08:10,59.78,43.25,19.2,29.48,33.66
2025-08-08 20:08:11,60.0,43.25,19.19,29.49,33.32
2025-08-08 20:08:12,60.3,43.25,19.18,29.49,33.76
2025-08-08 20:08:13,59.93,43.25,19.17,29.5,33.54
2025-08-08 20:08:14,59.94,43.25,19.13,29.5,33.51
2025-08-08 20:08:15,59.89,43.25,19.11,29.5,33.57
2025-08-08 20:08:16,60.43,43.25,19.07,29.51,33.74
2025-08-08 20:08:17,60.0,43.12,19.09,29.52,33.69
2025-08-08 20:08:18,59.82,43.25,19.09,29.53,33.61
2025-08-08 20:08:19,60.13,43.25,19.07,29.53,33.52
2025-08-08 20:08:20,60.11,43.25,19.06,29.54,33.86
2025-08-08 20:08:21,60.37,43.25,19.06,29.55,33.75
2025-08-08 20:08:22,59.97,43.25,19.06,29.55,33.88
2025-08-08 20:08:23,60.0,43.25,19.06,29.55,33.7
2025-08-08 20:08:24,59.8,43.25,19.07,29.56,33.92
