Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-07 00:28:02,60.0,43.0,21.31,27.03,60.69
2025-08-07 00:28:03,60.12,42.62,21.3,27.02,60.81
2025-08-07 00:28:04,60.0,42.25,21.3,27.0,60.81
2025-08-07 00:28:05,59.83,42.0,21.29,27.0,60.63
2025-08-07 00:28:06,60.0,41.88,21.29,27.03,60.81
2025-08-07 00:28:07,60.22,41.62,21.28,27.08,60.49
2025-08-07 00:28:08,60.06,41.5,21.28,27.14,60.66
2025-08-07 00:28:09,60.02,41.38,21.26,27.2,60.61
2025-08-07 00:28:10,60.0,41.25,21.25,27.26,60.56
2025-08-07 00:28:11,60.01,41.25,21.25,27.31,60.96
2025-08-07 00:28:12,60.04,41.12,21.27,27.36,60.58
2025-08-07 00:28:13,60.0,41.12,21.28,27.4,60.82
2025-08-07 00:28:14,59.95,41.12,21.28,27.44,60.86
2025-08-07 00:28:15,60.07,41.12,21.28,27.47,60.62
2025-08-07 00:28:16,60.0,41.12,21.28,27.51,60.69
2025-08-07 00:28:17,60.02,41.25,21.3,27.54,60.89
2025-08-07 00:28:18,60.0,41.25,21.33,27.57,60.83
2025-08-07 00:28:19,60.01,41.25,21.37,27.59,60.64
2025-08-07 00:28:20,60.0,41.25,21.43,27.63,60.35
2025-08-07 00:28:21,60.01,41.38,21.46,27.66,60.36
2025-08-07 00:28:22,59.85,41.38,21.49,27.69,60.47
2025-08-07 00:28:23,60.81,41.38,21.51,27.73,60.51
2025-08-07 00:28:24,60.01,41.5,21.51,27.76,60.53
2025-08-07 00:28:25,60.0,41.5,21.53,27.8,60.72
2025-08-07 00:28:26,59.98,41.5,21.56,27.85,60.83
2025-08-07 00:28:27,59.98,41.62,21.58,27.89,60.76
2025-08-07 00:28:28,60.0,41.62,21.59,27.92,60.78
2025-08-07 00:28:29,60.12,41.62,21.59,27.96,60.82
2025-08-07 00:28:30,59.91,41.75,21.58,27.99,60.79
2025-08-07 00:28:31,60.13,41.75,21.59,28.02,60.74
2025-08-07 00:28:32,60.0,41.75,21.59,28.06,60.83
2025-08-07 00:28:33,60.09,41.75,21.59,28.09,60.56
2025-08-07 00:28:34,60.0,41.88,21.59,28.12,60.69
2025-08-07 00:28:35,59.93,41.88,21.59,28.16,60.72
2025-08-07 00:28:36,60.0,41.88,21.57,28.2,60.64
2025-08-07 00:28:37,59.96,41.88,21.56,28.24,60.66
2025-08-07 00:28:38,60.25,42.0,21.53,28.28,60.62
2025-08-07 00:28:39,60.0,42.0,21.51,28.31,60.66
2025-08-07 00:28:40,60.09,42.0,21.49,28.36,61.13
2025-08-07 00:28:41,59.78,42.0,21.46,28.39,60.91
2025-08-07 00:28:42,60.05,42.12,21.44,28.42,60.61
2025-08-07 00:28:43,60.0,42.12,21.42,28.45,60.75
2025-08-07 00:28:44,60.15,42.12,21.42,28.48,60.69
2025-08-07 00:28:45,60.1,42.12,21.43,28.51,60.74
2025-08-07 00:28:46,60.0,42.12,21.43,28.53,60.54
2025-08-07 00:28:47,59.81,42.25,21.42,28.56,60.98
2025-08-07 00:28:48,59.96,42.25,21.4,28.59,60.88
2025-08-07 00:28:49,60.18,42.25,21.39,28.61,60.41
2025-08-07 00:28:50,60.0,42.25,21.39,28.63,61.07
2025-08-07 00:28:51,59.87,42.25,21.38,28.65,60.74
2025-08-07 00:28:52,60.1,42.38,21.39,28.67,60.67
2025-08-07 00:28:53,60.0,42.38,21.4,28.69,60.79
2025-08-07 00:28:54,60.1,42.38,21.4,28.7,61.01
2025-08-07 00:28:55,59.93,42.38,21.38,28.73,60.81
2025-08-07 00:28:56,60.0,42.38,21.38,28.75,60.95
2025-08-07 00:28:57,59.88,42.38,21.39,28.76,60.5
2025-08-07 00:28:58,60.24,42.5,21.4,28.78,60.83
2025-08-07 00:28:59,60.07,42.5,21.4,28.8,60.67
2025-08-07 00:29:00,60.0,42.5,21.39,28.82,60.95
2025-08-07 00:29:01,59.86,42.5,21.38,28.84,60.76
2025-08-07 00:29:02,59.98,42.5,21.38,28.85,60.42
2025-08-07 00:29:03,60.0,42.62,21.38,28.87,60.58
2025-08-07 00:29:04,60.33,42.62,21.38,28.88,60.88
2025-08-07 00:29:05,60.0,42.62,21.37,28.9,60.96
2025-08-07 00:29:06,60.04,42.62,21.36,28.92,60.94
2025-08-07 00:29:07,59.99,42.62,21.36,28.93,60.98
2025-08-07 00:29:08,60.05,42.62,21.35,28.94,60.86
2025-08-07 00:29:09,60.0,42.62,21.34,28.96,60.6
2025-08-07 00:29:10,60.05,42.62,21.34,28.98,60.73
2025-08-07 00:29:11,59.69,42.62,21.34,29.0,60.81
2025-08-07 00:29:12,59.76,42.62,21.34,29.01,60.98
2025-08-07 00:29:13,59.92,42.62,21.34,29.02,60.98
2025-08-07 00:29:14,60.0,42.75,21.34,29.03,60.94
2025-08-07 00:29:15,60.01,42.75,21.35,29.05,60.66
2025-08-07 00:29:16,59.97,42.75,21.36,29.06,60.88
2025-08-07 00:29:17,60.12,42.75,21.36,29.07,60.87
2025-08-07 00:29:18,59.95,42.75,21.36,29.08,60.86
2025-08-07 00:29:19,60.0,42.75,21.35,29.09,60.75
2025-08-07 00:29:20,59.95,42.75,21.35,29.11,61.07
2025-08-07 00:29:21,60.04,42.75,21.34,29.13,60.91
2025-08-07 00:29:22,60.0,42.75,21.35,29.14,60.79
2025-08-07 00:29:23,60.07,42.75,21.35,29.15,60.99
2025-08-07 00:29:24,59.97,42.75,21.35,29.16,60.85
2025-08-07 00:29:25,60.11,42.88,21.35,29.17,60.83
2025-08-07 00:29:26,59.79,42.88,21.35,29.18,60.94
2025-08-07 00:29:27,60.01,42.88,21.35,29.19,60.89
2025-08-07 00:29:28,59.7,42.88,21.34,29.21,60.82
2025-08-07 00:29:29,60.0,42.88,21.32,29.22,61.06
2025-08-07 00:29:30,60.32,42.88,21.31,29.24,60.82
2025-08-07 00:29:31,60.09,42.88,21.32,29.25,60.66
2025-08-07 00:29:32,60.0,42.88,21.32,29.26,60.81
2025-08-07 00:29:33,60.21,42.88,21.32,29.27,60.76
2025-08-07 00:29:34,60.17,42.88,21.31,29.28,61.07
2025-08-07 00:29:35,60.04,43.0,21.32,29.3,60.83
2025-08-07 00:29:36,59.97,43.0,21.31,29.31,60.73
2025-08-07 00:29:37,60.0,43.0,21.31,29.33,60.67
2025-08-07 00:29:38,59.96,43.0,21.31,29.33,60.62
2025-08-07 00:29:39,59.93,43.0,21.3,29.33,60.75
2025-08-07 00:29:40,60.0,43.0,21.31,29.35,60.95
2025-08-07 00:29:41,60.01,43.0,21.32,29.36,60.87
2025-08-07 00:29:42,59.87,43.0,21.33,29.37,60.88
2025-08-07 00:29:43,60.01,43.12,21.33,29.38,61.18
2025-08-07 00:29:44,60.0,43.12,21.33,29.39,60.96
2025-08-07 00:29:45,59.9,43.12,21.33,29.4,60.87
2025-08-07 00:29:46,59.96,43.12,21.34,29.41,61.05
2025-08-07 00:29:47,60.03,43.12,21.35,29.42,60.87
2025-08-07 00:29:48,60.0,43.12,21.35,29.43,60.96
2025-08-07 00:29:49,59.68,43.12,21.34,29.44,60.81
2025-08-07 00:29:50,60.29,43.12,21.34,29.45,60.89
2025-08-07 00:29:51,59.98,43.12,21.34,29.47,61.01
2025-08-07 00:29:52,60.0,43.12,21.34,29.48,61.14
2025-08-07 00:29:53,60.17,43.25,21.34,29.49,60.94
2025-08-07 00:29:54,60.05,43.25,21.35,29.49,60.87
2025-08-07 00:29:55,60.0,43.25,21.34,29.5,60.82
2025-08-07 00:29:56,60.02,43.25,21.33,29.51,61.2
2025-08-07 00:29:57,60.0,43.25,21.32,29.51,60.95
2025-08-07 00:29:58,60.0,43.25,21.32,29.52,61.2
2025-08-07 00:29:59,59.99,43.25,21.32,29.53,61.02
2025-08-07 00:30:00,60.0,43.25,21.34,29.54,61.24
