Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-09 23:32:39,59.99,44.38,20.4,27.6,55.06
2025-08-09 23:32:40,60.04,43.88,20.39,27.6,55.01
2025-08-09 23:32:41,59.97,43.5,20.41,27.61,55.07
2025-08-09 23:32:42,59.67,43.12,20.45,27.64,55.14
2025-08-09 23:32:43,59.91,42.88,20.49,27.68,55.1
2025-08-09 23:32:44,59.95,42.62,20.52,27.74,55.4
2025-08-09 23:32:45,59.97,42.5,20.56,27.8,54.92
2025-08-09 23:32:46,60.0,42.38,20.58,27.87,54.91
2025-08-09 23:32:47,60.03,42.12,20.6,27.91,55.13
2025-08-09 23:32:48,60.17,42.12,20.63,27.97,55.36
2025-08-09 23:32:49,60.1,42.0,20.65,28.0,55.23
2025-08-09 23:32:50,60.3,42.0,20.67,28.05,55.05
2025-08-09 23:32:51,60.34,41.88,20.69,28.1,55.16
2025-08-09 23:32:53,59.98,41.88,20.71,28.14,55.3
2025-08-09 23:32:54,59.84,41.88,20.73,28.19,55.17
2025-08-09 23:32:55,59.61,42.0,20.75,28.24,55.06
2025-08-09 23:32:56,59.56,42.0,20.76,28.29,55.06
2025-08-09 23:32:57,60.02,42.0,20.77,28.34,55.26
2025-08-09 23:32:58,60.0,42.12,20.78,28.37,55.17
2025-08-09 23:32:59,60.12,42.12,20.78,28.41,55.11
2025-08-09 23:33:00,59.92,42.12,20.78,28.45,55.24
2025-08-09 23:33:01,59.95,42.12,20.74,28.49,55.07
2025-08-09 23:33:02,59.96,42.25,20.71,28.53,55.02
2025-08-09 23:33:03,60.0,42.25,20.71,28.57,55.02
2025-08-09 23:33:04,59.89,42.25,20.72,28.59,55.13
2025-08-09 23:33:05,60.17,42.38,20.73,28.62,55.32
2025-08-09 23:33:06,59.93,42.38,20.71,28.65,55.19
2025-08-09 23:33:07,60.0,42.38,20.71,28.67,54.91
2025-08-09 23:33:08,59.72,42.38,20.71,28.69,55.14
2025-08-09 23:33:09,59.88,42.38,20.66,28.71,55.38
2025-08-09 23:33:10,60.05,42.5,20.56,28.73,55.28
2025-08-09 23:33:11,60.0,42.5,20.44,28.75,55.26
2025-08-09 23:33:12,60.0,42.5,20.35,28.78,55.25
2025-08-09 23:33:13,60.11,42.5,20.31,28.8,55.28
