Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-03 02:38:25,60.0,52.88,18.61,28.36,84.92
2025-08-03 02:38:26,60.12,51.38,18.61,28.39,85.05
2025-08-03 02:38:27,60.27,50.12,18.61,28.4,85.0
2025-08-03 02:38:28,59.66,49.0,18.6,28.4,85.05
2025-08-03 02:38:29,60.51,48.12,18.6,28.42,84.82
2025-08-03 02:38:30,59.99,47.25,18.61,28.44,84.76
2025-08-03 02:38:31,60.33,46.62,18.61,28.46,85.02
2025-08-03 02:38:32,60.05,46.0,18.61,28.48,84.71
2025-08-03 02:38:33,59.57,45.5,18.61,28.5,84.68
2025-08-03 02:38:34,60.02,45.0,18.61,28.52,84.87
2025-08-03 02:38:35,59.79,44.62,18.61,28.54,84.85
2025-08-03 02:38:36,60.03,44.38,18.61,28.57,84.97
2025-08-03 02:38:37,59.68,44.12,18.61,28.59,84.73
2025-08-03 02:38:38,60.34,43.88,18.61,28.61,84.46
2025-08-03 02:38:39,60.0,43.62,18.61,28.63,84.82
2025-08-03 02:38:40,60.34,43.5,18.61,28.65,84.82
2025-08-03 02:38:41,60.14,43.38,18.61,28.67,84.66
2025-08-03 02:38:42,60.24,43.25,18.61,28.69,84.61
2025-08-03 02:38:43,59.57,43.12,18.61,28.7,84.71
2025-08-03 02:38:44,60.01,43.12,18.6,28.73,84.51
2025-08-03 02:38:45,59.98,43.0,18.6,28.75,84.73
2025-08-03 02:38:46,59.67,43.0,18.6,28.77,84.56
2025-08-03 02:38:47,60.08,43.0,18.59,28.8,84.68
2025-08-03 02:38:48,60.3,43.0,18.59,28.81,84.42
2025-08-03 02:38:49,60.13,43.0,18.59,28.83,84.46
2025-08-03 02:38:50,60.0,43.0,18.59,28.83,84.68
2025-08-03 02:38:51,59.96,43.0,18.59,28.84,84.78
2025-08-03 02:38:52,60.17,43.0,18.59,28.85,84.48
2025-08-03 02:38:53,60.01,43.12,18.6,28.87,84.25
2025-08-03 02:38:54,59.9,43.12,18.6,28.88,84.15
2025-08-03 02:38:55,60.0,43.12,18.6,28.91,84.68
2025-08-03 02:38:56,59.71,43.12,18.6,28.93,84.25
2025-08-03 02:38:57,59.89,43.12,18.6,28.96,84.58
2025-08-03 02:38:58,59.5,43.12,18.6,28.99,84.53
2025-08-03 02:38:59,59.92,43.12,18.6,29.01,84.42
2025-08-03 02:39:00,60.0,43.12,18.61,29.03,84.63
2025-08-03 02:39:01,60.0,43.12,18.61,29.04,84.46
2025-08-03 02:39:02,59.77,43.12,18.61,29.05,84.3
2025-08-03 02:39:03,60.03,43.12,18.61,29.08,84.42
2025-08-03 02:39:04,59.94,43.12,18.62,29.09,84.37
2025-08-03 02:39:05,59.91,43.25,18.61,29.1,84.4
2025-08-03 02:39:06,60.0,43.25,18.61,29.13,84.46
2025-08-03 02:39:07,59.89,43.25,18.59,29.15,84.4
2025-08-03 02:39:08,59.92,43.25,18.58,29.16,84.17
2025-08-03 02:39:09,59.88,43.25,18.57,29.16,84.37
2025-08-03 02:39:10,59.8,43.25,18.56,29.17,84.12
2025-08-03 02:39:11,60.0,43.25,18.56,29.19,84.53
2025-08-03 02:39:12,60.06,43.38,18.56,29.21,84.2
2025-08-03 02:39:13,59.88,43.38,18.56,29.23,84.22
2025-08-03 02:39:14,60.26,43.38,18.56,29.24,84.15
2025-08-03 02:39:15,59.88,43.38,18.56,29.25,84.35
2025-08-03 02:39:16,60.17,43.38,18.56,29.26,84.27
2025-08-03 02:39:17,60.0,43.38,18.56,29.27,84.22
2025-08-03 02:39:18,60.09,43.38,18.56,29.28,83.98
2025-08-03 02:39:19,59.81,43.38,18.55,29.3,84.1
2025-08-03 02:39:20,60.11,43.38,18.55,29.31,84.37
2025-08-03 02:39:21,60.0,43.38,18.56,29.32,84.17
2025-08-03 02:39:22,60.05,43.38,18.57,29.33,84.12
2025-08-03 02:39:23,59.8,43.38,18.58,29.34,84.32
2025-08-03 02:39:24,60.06,43.38,18.59,29.34,84.03
2025-08-03 02:39:25,60.08,43.5,18.6,29.35,84.46
2025-08-03 02:39:26,60.0,43.5,18.61,29.36,84.01
2025-08-03 02:39:27,59.97,43.5,18.61,29.37,83.96
2025-08-03 02:39:28,60.0,43.5,18.62,29.38,84.17
2025-08-03 02:39:29,60.0,43.5,18.63,29.39,84.01
2025-08-03 02:39:30,60.18,43.5,18.63,29.39,84.12
2025-08-03 02:39:31,59.98,43.5,18.62,29.4,83.65
2025-08-03 02:39:32,60.07,43.5,18.62,29.41,84.03
2025-08-03 02:39:33,60.0,43.5,18.61,29.41,83.71
2025-08-03 02:39:34,59.91,43.62,18.61,29.42,83.88
2025-08-03 02:39:35,59.93,43.62,18.58,29.42,83.78
2025-08-03 02:39:36,60.17,43.62,18.57,29.43,83.71
2025-08-03 02:39:37,59.99,43.62,18.56,29.45,83.88
2025-08-03 02:39:38,59.87,43.62,18.55,29.46,84.01
2025-08-03 02:39:39,60.0,43.62,18.54,29.47,84.12
2025-08-03 02:39:40,59.97,43.62,18.54,29.47,83.71
2025-08-03 02:39:41,59.99,43.62,18.54,29.48,83.6
2025-08-03 02:39:42,59.93,43.62,18.53,29.48,83.74
2025-08-03 02:39:43,60.04,43.62,18.53,29.49,83.93
2025-08-03 02:39:44,60.0,43.62,18.51,29.49,83.88
2025-08-03 02:39:45,59.89,43.62,18.51,29.49,83.69
2025-08-03 02:39:46,60.0,43.62,18.51,29.5,83.76
2025-08-03 02:39:47,59.82,43.62,18.5,29.5,83.5
2025-08-03 02:39:48,59.96,43.62,18.5,29.5,83.29
2025-08-03 02:39:49,59.96,43.62,18.51,29.51,84.03
2025-08-03 02:39:50,60.0,43.62,18.52,29.53,83.52
2025-08-03 02:39:51,59.89,43.62,18.53,29.53,83.76
2025-08-03 02:39:52,59.96,43.62,18.54,29.55,83.6
2025-08-03 02:39:53,60.0,43.62,18.56,29.56,83.91
