Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-09-22 18:13:39,60.0,42.62,22.9,25.51,54.72
2025-09-22 18:13:40,60.0,42.12,22.9,25.51,54.87
2025-09-22 18:13:41,60.0,41.75,22.92,25.49,54.83
2025-09-22 18:13:42,59.99,41.5,22.92,25.48,54.85
2025-09-22 18:13:43,60.0,41.25,22.92,25.48,54.85
2025-09-22 18:13:44,60.0,41.0,22.92,25.5,54.91
2025-09-22 18:13:45,60.0,40.75,22.91,25.54,54.71
2025-09-22 18:13:46,59.99,40.62,22.89,25.6,54.87
2025-09-22 18:13:47,60.01,40.5,22.9,25.66,54.98
2025-09-22 18:13:48,59.99,40.38,22.9,25.72,54.72
2025-09-22 18:13:49,60.01,40.25,22.9,25.77,54.86
2025-09-22 18:13:50,60.0,40.25,22.9,25.81,54.78
2025-09-22 18:13:51,60.0,40.25,22.9,25.85,54.63
2025-09-22 18:13:52,60.0,40.25,22.9,25.87,54.93
2025-09-22 18:13:53,60.0,40.25,22.92,25.89,55.04
2025-09-22 18:13:54,60.0,40.25,22.94,25.91,54.85
2025-09-22 18:13:55,60.0,40.25,22.94,25.93,54.86
2025-09-22 18:13:56,60.0,40.25,22.94,25.95,54.88
2025-09-22 18:13:57,60.0,40.25,22.94,25.99,54.87
2025-09-22 18:13:58,60.0,40.38,22.94,26.03,54.92
2025-09-22 18:13:59,60.0,40.38,22.96,26.07,54.77
2025-09-22 18:14:00,60.0,40.38,22.97,26.1,54.7
2025-09-22 18:14:01,60.0,40.38,22.98,26.14,54.89
2025-09-22 18:14:02,60.01,40.38,22.97,26.16,55.05
2025-09-22 18:14:03,60.0,40.38,22.97,26.2,55.1
2025-09-22 18:14:04,60.0,40.38,22.98,26.22,54.88
2025-09-22 18:14:05,60.0,40.38,22.99,26.26,54.8
2025-09-22 18:14:06,60.0,40.38,23.0,26.29,55.01
2025-09-22 18:14:07,60.0,40.38,23.02,26.33,54.7
2025-09-22 18:14:08,60.0,40.38,23.03,26.35,54.73
2025-09-22 18:14:09,60.0,40.38,23.04,26.39,55.02
2025-09-22 18:14:10,60.0,40.38,23.06,26.42,55.03
2025-09-22 18:14:11,60.0,40.5,23.07,26.43,55.01
2025-09-22 18:14:12,59.99,40.5,23.09,26.46,54.86
2025-09-22 18:14:13,60.01,40.5,23.1,26.48,54.76
2025-09-22 18:14:14,60.0,40.5,23.12,26.49,54.99
2025-09-22 18:14:15,59.99,40.62,23.12,26.51,55.08
2025-09-22 18:14:16,60.0,41.5,23.12,26.53,55.01
2025-09-22 18:14:17,59.99,41.62,23.12,26.55,55.21
2025-09-22 18:14:18,60.0,41.5,23.1,26.56,55.1
2025-09-22 18:14:19,60.01,41.25,23.09,26.56,55.04
2025-09-22 18:14:20,59.99,41.12,23.07,26.59,54.82
2025-09-22 18:14:21,60.01,41.12,23.06,26.6,55.23
2025-09-22 18:14:22,60.0,41.0,23.05,26.63,54.98
2025-09-22 18:14:23,60.0,40.88,23.04,26.65,55.08
2025-09-22 18:14:24,60.0,40.88,23.03,26.68,54.79
2025-09-22 18:14:25,60.0,40.88,22.99,26.7,54.96
2025-09-22 18:14:26,59.99,40.88,22.97,26.71,55.36
2025-09-22 18:14:27,60.01,40.88,22.96,26.72,55.07
2025-09-22 18:14:28,60.0,40.88,22.95,26.74,55.1
2025-09-22 18:14:29,60.0,40.88,22.96,26.77,55.08
2025-09-22 18:14:30,59.99,40.88,22.98,26.79,55.08
2025-09-22 18:14:31,60.01,40.88,22.99,26.81,55.36
2025-09-22 18:14:32,60.0,40.88,23.01,26.83,55.2
2025-09-22 18:14:33,60.0,40.88,23.02,26.84,55.1
2025-09-22 18:14:34,60.0,41.0,23.02,26.85,55.14
2025-09-22 18:14:35,59.99,41.0,23.01,26.87,54.9
2025-09-22 18:14:36,60.0,41.0,23.0,26.88,54.85
2025-09-22 18:14:37,60.0,41.0,23.01,26.91,54.96
2025-09-22 18:14:38,60.0,41.0,23.02,26.93,55.04
2025-09-22 18:14:39,60.0,41.0,23.03,26.95,55.02
2025-09-22 18:14:40,60.0,41.0,23.04,26.96,55.21
2025-09-22 18:14:41,60.0,41.12,23.05,26.97,54.81
2025-09-22 18:14:42,60.0,41.12,23.07,27.0,54.88
2025-09-22 18:14:43,60.0,41.12,23.08,27.01,54.9
2025-09-22 18:14:44,60.0,41.12,23.1,27.03,54.8
2025-09-22 18:14:45,60.0,41.12,23.09,27.05,54.83
2025-09-22 18:14:46,60.0,41.88,23.09,27.07,55.1
2025-09-22 18:14:47,59.99,41.88,23.09,27.09,55.04
2025-09-22 18:14:48,60.01,41.75,23.1,27.11,55.04
2025-09-22 18:14:49,60.0,41.62,23.1,27.13,55.14
2025-09-22 18:14:50,59.99,41.75,23.09,27.14,55.42
2025-09-22 18:14:51,60.01,41.88,23.08,27.16,55.22
2025-09-22 18:14:52,60.0,41.75,23.07,27.18,55.26
2025-09-22 18:14:53,60.0,41.75,23.06,27.19,55.36
2025-09-22 18:14:54,60.0,41.62,23.05,27.21,55.1
2025-09-22 18:14:55,60.0,41.5,23.05,27.23,55.33
2025-09-22 18:14:56,59.99,41.5,23.05,27.25,55.34
2025-09-22 18:14:57,60.0,41.5,23.05,27.28,55.27
2025-09-22 18:14:58,60.0,41.5,23.05,27.29,55.42
2025-09-22 18:14:59,60.0,41.5,23.04,27.31,55.17
2025-09-22 18:15:00,60.0,41.5,23.04,27.32,55.21
2025-09-22 18:15:01,60.01,41.5,23.04,27.33,55.2
2025-09-22 18:15:02,60.0,41.5,23.05,27.35,55.39
2025-09-22 18:15:03,59.98,41.5,23.07,27.36,55.3
2025-09-22 18:15:04,60.01,41.62,23.08,27.38,55.05
2025-09-22 18:15:05,60.0,41.62,23.09,27.39,55.39
2025-09-22 18:15:06,60.0,41.62,23.1,27.4,55.49
2025-09-22 18:15:07,60.0,41.62,23.1,27.41,55.29
2025-09-22 18:15:08,60.0,41.62,23.1,27.41,55.57
2025-09-22 18:15:09,60.0,41.62,23.09,27.42,55.41
2025-09-22 18:15:10,60.0,41.62,23.07,27.44,55.51
2025-09-22 18:15:11,60.0,41.62,23.06,27.44,55.41
2025-09-22 18:15:12,60.0,41.62,23.06,27.45,55.46
2025-09-22 18:15:13,60.01,41.62,23.07,27.47,55.23
2025-09-22 18:15:14,60.0,41.62,23.07,27.49,55.28
2025-09-22 18:15:16,59.99,41.62,23.05,27.5,55.06
2025-09-22 18:15:17,60.01,41.75,23.04,27.51,55.04
2025-09-22 18:15:18,60.0,41.75,23.03,27.51,55.18
2025-09-22 18:15:19,59.99,41.75,23.02,27.53,55.13
2025-09-22 18:15:20,60.0,41.75,23.01,27.54,55.61
2025-09-22 18:15:21,60.01,41.75,22.98,27.55,55.37
2025-09-22 18:15:22,60.0,41.75,22.96,27.56,55.38
2025-09-22 18:15:23,60.0,41.75,22.94,27.56,55.28
2025-09-22 18:15:24,60.01,41.75,22.94,27.56,55.27
2025-09-22 18:15:25,60.0,41.75,22.95,27.56,55.1
2025-09-22 18:15:26,60.0,41.75,22.96,27.57,55.3
2025-09-22 18:15:27,60.0,41.75,22.97,27.58,55.49
2025-09-22 18:15:28,60.0,41.75,22.96,27.58,55.14
2025-09-22 18:15:29,60.0,41.75,22.94,27.59,55.26
2025-09-22 18:15:30,60.0,41.75,22.95,27.59,55.17
2025-09-22 18:15:31,59.98,41.75,22.97,27.6,55.25
2025-09-22 18:15:32,60.01,41.75,22.99,27.62,55.34
2025-09-22 18:15:33,60.0,41.75,23.01,27.64,55.44
2025-09-22 18:15:34,59.99,41.88,23.04,27.64,55.44
2025-09-22 18:15:35,60.01,41.88,23.05,27.64,55.61
2025-09-22 18:15:36,60.0,41.75,23.04,27.65,55.07
2025-09-22 18:15:37,60.0,41.88,23.04,27.66,55.22
2025-09-22 18:15:38,60.0,41.88,23.04,27.68,55.51
2025-09-22 18:15:39,59.99,41.88,23.03,27.69,55.31
2025-09-22 18:15:40,60.0,41.88,23.01,27.69,55.23
2025-09-22 18:15:41,60.0,41.88,22.99,27.69,55.4
2025-09-22 18:15:42,60.0,41.88,22.98,27.7,55.4
2025-09-22 18:15:43,60.0,41.88,22.99,27.7,55.62
2025-09-22 18:15:44,60.0,41.88,23.0,27.71,55.46
2025-09-22 18:15:45,60.0,41.88,23.0,27.71,55.76
2025-09-22 18:15:46,60.0,41.88,23.01,27.71,55.41
2025-09-22 18:15:47,60.0,42.25,23.03,27.72,55.62
2025-09-22 18:15:48,60.0,42.38,23.04,27.73,55.49
2025-09-22 18:15:49,60.0,42.38,23.06,27.74,55.53
2025-09-22 18:15:50,60.0,42.38,23.07,27.75,55.52
2025-09-22 18:15:51,60.01,42.25,23.1,27.76,55.41
2025-09-22 18:15:52,60.0,42.25,23.11,27.77,55.21
2025-09-22 18:15:53,60.0,42.12,23.14,27.79,55.54
2025-09-22 18:15:54,60.0,42.0,23.16,27.8,55.4
2025-09-22 18:15:55,60.0,42.0,23.16,27.81,55.68
2025-09-22 18:15:56,60.01,42.0,23.16,27.82,55.94
2025-09-22 18:15:57,60.0,42.0,23.16,27.83,55.77
2025-09-22 18:15:58,60.0,42.0,23.17,27.84,55.48
2025-09-22 18:15:59,60.0,41.88,23.18,27.87,55.61
2025-09-22 18:16:00,60.0,41.88,23.2,27.89,55.43
2025-09-22 18:16:01,60.0,41.88,23.2,27.89,55.54
2025-09-22 18:16:02,60.0,41.88,23.21,27.89,55.2
2025-09-22 18:16:03,60.0,42.0,23.22,27.9,55.5
2025-09-22 18:16:04,60.01,42.0,23.23,27.91,55.47
2025-09-22 18:16:05,60.0,42.0,23.22,27.92,55.32
2025-09-22 18:16:06,59.99,42.0,23.22,27.94,55.48
2025-09-22 18:16:07,60.0,42.12,23.2,27.95,55.5
2025-09-22 18:16:08,60.0,42.25,23.19,27.97,55.25
2025-09-22 18:16:09,60.0,42.38,23.18,27.97,55.42
2025-09-22 18:16:10,60.0,42.5,23.16,27.97,55.71
2025-09-22 18:16:11,60.0,42.5,23.15,27.97,55.68
2025-09-22 18:16:12,60.0,42.5,23.13,27.97,55.39
2025-09-22 18:16:13,60.0,42.62,23.12,27.97,55.68
2025-09-22 18:16:14,60.0,42.62,23.12,27.98,55.7
2025-09-22 18:16:15,60.0,42.75,23.1,27.98,55.63
2025-09-22 18:16:16,59.98,43.0,23.1,27.97,55.59
2025-09-22 18:16:17,60.02,42.88,23.08,27.97,55.72
2025-09-22 18:16:18,60.0,42.75,23.06,27.98,55.78
2025-09-22 18:16:19,60.0,42.5,23.04,27.99,55.52
2025-09-22 18:16:20,60.01,42.5,23.03,28.0,55.68
2025-09-22 18:16:21,60.0,42.5,23.03,28.0,55.65
2025-09-22 18:16:22,60.0,42.5,23.02,28.0,55.63
2025-09-22 18:16:23,60.0,42.5,23.01,28.01,55.65
2025-09-22 18:16:24,60.0,42.62,23.0,28.01,55.48
2025-09-22 18:16:25,60.0,43.12,22.99,28.02,55.52
2025-09-22 18:16:26,60.0,43.88,22.98,28.02,55.8
2025-09-22 18:16:27,60.0,43.88,22.98,28.03,55.76
2025-09-22 18:16:28,60.0,44.0,22.98,28.04,55.57
2025-09-22 18:16:29,60.0,44.0,22.98,28.05,55.54
2025-09-22 18:16:30,60.0,44.0,22.98,28.05,55.77
2025-09-22 18:16:31,60.0,44.12,22.98,28.06,55.61
2025-09-22 18:16:32,60.0,43.88,22.98,28.06,55.4
2025-09-22 18:16:33,60.0,43.5,22.98,28.06,55.79
2025-09-22 18:16:34,60.0,43.38,22.99,28.07,55.81
2025-09-22 18:16:35,60.0,43.12,22.99,28.07,55.48
2025-09-22 18:16:36,60.0,43.0,23.0,28.08,55.33
2025-09-22 18:16:37,60.0,42.88,23.0,28.09,55.65
2025-09-22 18:16:38,60.0,42.75,23.0,28.09,55.7
2025-09-22 18:16:39,60.0,42.62,23.0,28.09,55.36
2025-09-22 18:16:40,60.0,42.62,23.0,28.09,55.61
2025-09-22 18:16:41,60.0,42.62,22.99,28.1,55.66
2025-09-22 18:16:42,60.0,42.5,22.99,28.11,55.73
2025-09-22 18:16:43,60.0,42.5,23.0,28.11,55.68
2025-09-22 18:16:44,60.0,42.5,23.01,28.12,55.81
2025-09-22 18:16:45,59.99,42.38,23.02,28.12,55.75
2025-09-22 18:16:46,60.0,42.75,23.02,28.12,55.65
2025-09-22 18:16:47,60.01,42.62,23.02,28.12,55.48
2025-09-22 18:16:48,60.01,42.5,23.02,28.13,55.66
2025-09-22 18:16:49,60.0,42.38,23.03,28.13,55.9
2025-09-22 18:16:50,60.0,42.38,23.03,28.14,55.68
2025-09-22 18:16:51,60.0,42.25,23.03,28.14,55.75
2025-09-22 18:16:52,60.0,42.25,23.03,28.15,55.63
