Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-07 23:52:01,60.36,48.38,19.33,27.92,30.81,30.7
2025-06-07 23:52:02,60.02,47.5,19.33,27.94,30.82,30.71
2025-06-07 23:52:03,60.0,46.75,19.38,27.96,30.83,30.71
2025-06-07 23:52:04,59.96,46.12,19.4,27.98,30.85,30.76
2025-06-07 23:52:05,60.02,45.62,19.43,28.0,30.82,30.71
2025-06-07 23:52:06,60.0,45.25,19.46,28.03,30.87,30.76
2025-06-07 23:52:07,59.98,44.75,19.46,28.04,30.86,30.71
2025-06-07 23:52:08,60.06,44.5,19.45,28.08,30.86,30.74
2025-06-07 23:52:09,60.0,44.25,19.42,28.11,30.86,30.75
2025-06-07 23:52:10,60.2,44.0,19.42,28.13,30.85,30.74
2025-06-07 23:52:11,60.12,43.75,19.43,28.16,30.82,30.74
2025-06-07 23:52:12,60.0,43.5,19.43,28.2,30.83,30.76
2025-06-07 23:52:13,59.74,43.38,19.41,28.24,30.85,30.78
2025-06-07 23:52:14,60.12,43.25,19.39,28.28,30.83,30.77
2025-06-07 23:52:15,60.0,43.25,19.42,28.31,30.88,30.79
2025-06-07 23:52:16,59.95,43.12,19.43,28.35,30.87,30.79
2025-06-07 23:52:17,60.01,43.0,19.41,28.36,30.88,30.83
2025-06-07 23:52:18,60.35,43.0,19.38,28.39,30.91,30.83
2025-06-07 23:52:19,60.0,43.0,19.38,28.42,30.88,30.85
2025-06-07 23:52:20,60.18,43.0,19.39,28.44,30.87,30.86
2025-06-07 23:52:21,60.28,43.12,19.37,28.46,30.91,30.87
2025-06-07 23:52:22,59.76,43.12,19.33,28.49,30.91,30.91
2025-06-07 23:52:23,60.0,43.12,19.31,28.51,30.91,30.91
2025-06-07 23:52:24,62.03,43.25,19.29,28.53,30.9,30.9
2025-06-07 23:52:25,60.04,43.25,19.33,28.56,30.93,30.93
2025-06-07 23:52:26,60.01,43.25,19.35,28.59,30.93,30.96
2025-06-07 23:52:27,60.0,43.25,19.33,28.61,30.93,30.96
2025-06-07 23:52:28,59.88,43.38,19.29,28.63,30.91,31.02
2025-06-07 23:52:29,59.97,43.38,19.28,28.66,30.92,30.99
2025-06-07 23:52:30,59.99,43.38,19.31,28.67,30.91,31.04
2025-06-07 23:52:31,60.4,43.38,19.32,28.69,30.93,31.0
2025-06-07 23:52:32,60.09,43.38,19.32,28.71,31.0,31.04
2025-06-07 23:52:33,61.84,43.38,19.33,28.73,31.0,31.06
2025-06-07 23:52:34,59.93,43.38,19.35,28.75,30.98,31.06
2025-06-07 23:52:35,60.4,43.5,19.39,28.77,30.99,31.07
2025-06-07 23:52:36,60.02,43.5,19.42,28.78,30.98,31.08
2025-06-07 23:52:37,59.23,43.5,19.46,28.8,31.0,31.11
2025-06-07 23:52:38,60.09,43.5,19.49,28.83,31.04,31.16
2025-06-07 23:52:39,60.0,43.62,19.52,28.84,30.99,31.14
2025-06-07 23:52:40,60.09,43.62,19.53,28.87,31.04,31.16
2025-06-07 23:52:41,60.01,43.62,19.54,28.9,31.06,31.15
2025-06-07 23:52:42,60.0,43.62,19.56,28.92,31.02,31.14
