Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-09-22 14:40:03,59.99,55.0,22.84,29.52,42.14
2025-09-22 14:40:04,60.02,53.38,22.86,29.5,42.24
2025-09-22 14:40:05,60.0,52.0,22.86,29.49,42.22
2025-09-22 14:40:06,60.0,50.75,22.86,29.46,42.09
2025-09-22 14:40:07,59.99,49.75,22.85,29.43,42.1
2025-09-22 14:40:08,60.0,48.88,22.84,29.41,42.37
2025-09-22 14:40:09,60.01,48.12,22.83,29.39,42.04
2025-09-22 14:40:10,59.99,47.38,22.83,29.39,42.26
2025-09-22 14:40:11,60.01,46.88,22.84,29.39,42.0
2025-09-22 14:40:12,59.97,46.38,22.85,29.39,42.21
2025-09-22 14:40:13,60.02,45.88,22.86,29.38,42.35
2025-09-22 14:40:15,60.0,45.62,22.86,29.36,42.43
2025-09-22 14:40:16,60.0,45.38,22.86,29.35,42.37
2025-09-22 14:40:17,60.0,45.0,22.85,29.34,42.47
2025-09-22 14:40:18,60.0,44.75,22.84,29.34,42.51
2025-09-22 14:40:19,60.0,44.5,22.84,29.34,42.37
2025-09-22 14:40:20,60.01,44.38,22.85,29.33,42.26
2025-09-22 14:40:21,59.99,44.12,22.84,29.34,42.21
2025-09-22 14:40:22,59.99,44.0,22.84,29.34,42.35
2025-09-22 14:40:23,60.01,44.0,22.83,29.34,42.41
2025-09-22 14:40:24,60.0,44.0,22.84,29.34,42.33
2025-09-22 14:40:25,60.0,43.88,22.86,29.33,42.25
2025-09-22 14:40:26,60.0,43.75,22.86,29.33,42.59
2025-09-22 14:40:27,59.99,43.62,22.86,29.32,42.74
2025-09-22 14:40:28,59.99,44.12,22.86,29.31,42.47
2025-09-22 14:40:29,60.02,44.5,22.86,29.3,42.64
2025-09-22 14:40:30,60.01,44.38,22.86,29.3,42.64
2025-09-22 14:40:31,59.99,44.25,22.88,29.28,43.0
2025-09-22 14:40:32,60.0,44.0,22.89,29.27,42.56
2025-09-22 14:40:33,60.0,43.88,22.9,29.26,42.51
2025-09-22 14:40:34,60.0,43.75,22.9,29.24,42.86
2025-09-22 14:40:35,60.0,43.62,22.9,29.23,42.51
2025-09-22 14:40:36,59.99,43.5,22.9,29.2,42.72
2025-09-22 14:40:37,60.0,43.75,22.92,29.18,42.77
2025-09-22 14:40:38,60.0,43.62,22.93,29.15,42.73
2025-09-22 14:40:39,60.01,43.5,22.94,29.13,42.59
2025-09-22 14:40:40,59.99,43.5,22.95,29.1,42.84
2025-09-22 14:40:41,60.01,43.38,22.97,29.08,42.66
2025-09-22 14:40:42,59.99,43.38,22.99,29.06,42.98
2025-09-22 14:40:43,59.99,44.0,23.01,29.04,42.76
2025-09-22 14:40:44,60.01,43.88,23.02,29.04,42.87
2025-09-22 14:40:45,60.0,43.75,23.03,29.04,42.83
2025-09-22 14:40:46,60.0,43.62,23.03,29.03,42.9
2025-09-22 14:40:47,60.0,43.62,23.03,29.01,42.84
2025-09-22 14:40:48,59.97,43.75,23.03,28.99,43.02
2025-09-22 14:40:49,60.03,43.75,23.04,28.98,42.97
2025-09-22 14:40:50,60.0,43.62,23.04,28.97,43.17
2025-09-22 14:40:51,60.0,43.5,23.04,28.96,42.96
