Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-06 00:29:56,60.1,50.5,18.89,27.76,33.97,33.8
2025-06-06 00:29:57,60.16,49.88,18.88,27.75,33.93,33.81
2025-06-06 00:29:58,60.0,49.38,18.87,27.75,33.96,33.82
2025-06-06 00:29:59,59.84,48.88,18.86,27.74,33.91,33.81
2025-06-06 00:30:00,60.21,48.5,18.86,27.74,33.93,33.79
2025-06-06 00:30:01,59.9,48.25,18.86,27.74,33.97,33.82
2025-06-06 00:30:02,59.98,48.0,18.86,27.74,33.93,33.82
2025-06-06 00:30:03,60.27,47.75,18.85,27.74,33.92,33.81
2025-06-06 00:30:04,60.05,47.5,18.85,27.74,33.96,33.81
2025-06-06 00:30:05,60.02,47.38,18.84,27.76,33.95,33.8
2025-06-06 00:30:06,60.16,47.25,18.85,27.77,33.93,33.8
2025-06-06 00:30:07,60.0,47.12,18.85,27.8,33.94,33.77
2025-06-06 00:30:08,59.6,47.0,18.84,27.81,33.92,33.82
2025-06-06 00:30:09,60.0,47.0,18.84,27.83,33.93,33.81
2025-06-06 00:30:10,59.77,46.88,18.86,27.85,33.92,33.84
2025-06-06 00:30:11,60.23,46.88,18.86,27.88,33.91,33.82
2025-06-06 00:30:12,59.89,46.88,18.91,27.9,33.92,33.8
2025-06-06 00:30:13,59.95,47.0,18.94,27.92,33.93,33.8
2025-06-06 00:30:14,60.02,47.0,18.94,27.95,33.91,33.8
2025-06-06 00:30:15,60.13,47.0,18.93,27.97,33.89,33.8
2025-06-06 00:30:16,60.0,47.0,18.9,27.98,33.89,33.8
2025-06-06 00:30:17,59.96,47.0,18.89,28.0,33.91,33.8
2025-06-06 00:30:18,60.25,47.12,18.88,28.01,33.96,33.84
2025-06-06 00:30:19,60.16,47.12,18.87,28.03,33.9,33.82
2025-06-06 00:30:20,59.97,47.12,18.86,28.04,33.91,33.86
2025-06-06 00:30:21,60.11,47.12,18.88,28.06,33.88,33.84
2025-06-06 00:30:22,60.63,47.12,19.06,28.07,33.91,33.85
2025-06-06 00:30:23,59.79,47.12,19.26,28.08,33.9,33.85
2025-06-06 00:30:24,60.05,47.12,19.43,28.11,33.87,33.89
2025-06-06 00:30:25,59.99,47.12,19.57,28.12,33.86,33.9
2025-06-06 00:30:26,60.0,47.12,19.71,28.15,33.86,33.92
2025-06-06 00:30:27,60.68,47.12,19.79,28.17,33.85,33.91
2025-06-06 00:30:28,60.38,47.25,19.8,28.19,33.82,33.92
2025-06-06 00:30:29,60.22,47.25,19.77,28.2,33.81,33.92
2025-06-06 00:30:30,59.93,47.25,19.66,28.2,33.82,33.94
2025-06-06 00:30:31,60.11,47.25,19.53,28.19,33.82,33.92
2025-06-06 00:30:32,59.97,47.25,19.4,28.18,33.84,33.94
2025-06-06 00:30:33,60.62,47.25,19.29,28.17,33.87,33.96
2025-06-06 00:30:34,60.32,47.25,19.19,28.17,33.88,33.96
2025-06-06 00:30:35,60.11,47.25,19.11,28.16,33.86,34.01
2025-06-06 00:30:36,60.0,47.25,19.04,28.16,33.84,33.98
2025-06-06 00:30:37,60.21,47.38,18.99,28.16,33.84,33.98
2025-06-06 00:30:38,60.04,47.38,18.96,28.16,33.85,34.01
2025-06-06 00:30:39,60.01,47.38,18.94,28.17,33.81,34.02
2025-06-06 00:30:40,59.99,47.38,18.93,28.17,33.8,33.99
2025-06-06 00:30:41,60.14,47.38,18.92,28.18,33.78,33.98
2025-06-06 00:30:42,60.06,47.38,18.9,28.18,33.78,33.96
2025-06-06 00:30:43,59.92,47.38,18.88,28.19,33.73,34.03
2025-06-06 00:30:44,60.05,47.38,18.86,28.22,33.72,34.06
2025-06-06 00:30:45,60.03,47.38,18.86,28.24,33.74,34.04
2025-06-06 00:30:46,60.0,47.5,18.86,28.25,33.7,34.05
2025-06-06 00:30:47,60.14,47.5,18.92,28.27,33.72,34.08
2025-06-06 00:30:48,60.05,47.5,19.01,28.29,33.77,34.06
2025-06-06 00:30:49,60.37,47.5,19.19,28.31,33.76,34.04
2025-06-06 00:30:50,59.93,47.5,19.38,28.33,33.76,34.08
2025-06-06 00:30:51,59.96,47.5,19.42,28.35,33.81,34.06
2025-06-06 00:30:52,60.18,47.5,19.37,28.36,33.83,34.09
2025-06-06 00:30:53,59.97,47.5,19.39,28.36,33.78,34.07
2025-06-06 00:30:54,60.13,47.5,19.48,28.36,33.77,34.1
2025-06-06 00:30:55,60.0,47.62,19.49,28.37,33.76,34.11
2025-06-06 00:30:56,59.9,47.62,19.53,28.38,33.76,34.1
2025-06-06 00:30:57,59.76,47.62,19.59,28.39,33.79,34.13
2025-06-06 00:30:58,60.16,47.62,19.69,28.39,33.78,34.11
2025-06-06 00:30:59,60.14,47.62,19.79,28.4,33.79,34.14
2025-06-06 00:31:00,59.91,47.62,19.87,28.41,33.78,34.14
2025-06-06 00:31:01,60.45,47.62,19.97,28.42,33.81,34.17
2025-06-06 00:31:02,59.92,47.62,20.02,28.42,33.8,34.17
2025-06-06 00:31:03,60.38,47.62,20.07,28.43,33.8,34.17
2025-06-06 00:31:04,60.1,47.62,20.08,28.44,33.78,34.16
2025-06-06 00:31:05,59.99,47.5,20.07,28.44,33.78,34.18
2025-06-06 00:31:06,60.36,47.5,20.09,28.45,33.76,34.18
2025-06-06 00:31:07,59.74,47.5,20.14,28.45,33.78,34.22
2025-06-06 00:31:08,59.97,47.62,20.17,28.46,33.76,34.18
2025-06-06 00:31:09,59.93,47.62,20.2,28.46,33.75,34.22
2025-06-06 00:31:10,59.75,47.62,20.21,28.45,33.7,34.22
2025-06-06 00:31:11,59.87,47.62,20.22,28.46,33.72,34.23
2025-06-06 00:31:12,60.27,47.62,20.2,28.46,33.76,34.2
2025-06-06 00:31:13,60.36,47.62,20.14,28.47,33.74,34.26
2025-06-06 00:31:14,59.82,47.62,20.14,28.48,33.74,34.24
2025-06-06 00:31:15,60.17,47.62,20.16,28.49,33.74,34.27
2025-06-06 00:31:16,60.0,47.75,20.18,28.5,33.76,34.3
2025-06-06 00:31:17,59.89,47.75,20.15,28.51,33.75,34.31
2025-06-06 00:31:18,59.77,47.75,20.14,28.51,33.76,34.3
2025-06-06 00:31:19,59.93,47.75,20.11,28.51,33.74,34.26
2025-06-06 00:31:20,60.2,47.75,20.1,28.51,33.7,34.33
2025-06-06 00:31:21,60.04,47.75,20.11,28.51,33.72,34.3
2025-06-06 00:31:22,59.95,47.75,20.08,28.51,33.71,34.34
2025-06-06 00:31:23,60.18,47.75,20.07,28.51,33.75,34.32
2025-06-06 00:31:24,60.0,47.75,20.07,28.51,33.73,34.33
2025-06-06 00:31:25,60.07,47.75,20.0,28.51,33.74,34.32
2025-06-06 00:31:26,60.0,47.75,19.99,28.51,33.76,34.33
2025-06-06 00:31:27,59.98,47.75,19.98,28.51,33.79,34.34
2025-06-06 00:31:28,59.81,47.88,19.93,28.51,33.8,34.33
2025-06-06 00:31:29,60.04,47.88,19.93,28.51,33.82,34.33
2025-06-06 00:31:30,59.53,47.75,19.99,28.51,33.8,34.32
2025-06-06 00:31:31,59.88,47.88,20.07,28.51,33.74,34.34
2025-06-06 00:31:32,60.17,47.88,20.1,28.51,33.76,34.3
2025-06-06 00:31:33,59.83,47.88,20.1,28.52,33.74,34.34
2025-06-06 00:31:34,60.13,47.88,20.06,28.52,33.75,34.36
2025-06-06 00:31:35,60.0,47.88,20.04,28.52,33.73,34.31
2025-06-06 00:31:36,60.17,47.88,20.03,28.52,33.72,34.35
2025-06-06 00:31:37,60.29,47.88,19.94,28.52,33.68,34.36
2025-06-06 00:31:38,59.81,47.75,19.9,28.52,33.74,34.38
2025-06-06 00:31:39,59.81,47.88,19.93,28.52,33.76,34.35
2025-06-06 00:31:40,60.02,47.88,19.93,28.52,33.74,34.35
2025-06-06 00:31:41,60.15,47.75,19.97,28.52,33.71,34.36
2025-06-06 00:31:42,60.1,47.75,20.02,28.52,33.78,34.35
2025-06-06 00:31:43,59.99,47.75,20.07,28.52,33.77,34.36
2025-06-06 00:31:44,60.2,47.75,20.09,28.53,33.73,34.4
2025-06-06 00:31:45,59.99,47.75,20.13,28.53,33.7,34.31
2025-06-06 00:31:46,59.91,47.75,20.14,28.54,33.75,34.35
2025-06-06 00:31:47,60.27,47.75,20.16,28.54,33.75,34.41
2025-06-06 00:31:48,60.17,47.75,20.18,28.55,33.76,34.39
2025-06-06 00:31:49,59.86,47.75,20.13,28.56,33.75,34.39
2025-06-06 00:31:50,60.04,47.75,19.98,28.56,33.72,34.41
2025-06-06 00:31:51,59.68,47.75,19.82,28.56,33.73,34.41
2025-06-06 00:31:52,60.19,47.75,19.74,28.56,33.72,34.37
2025-06-06 00:31:53,60.45,47.88,19.75,28.57,33.71,34.4
2025-06-06 00:31:54,60.0,47.88,19.72,28.57,33.71,34.45
2025-06-06 00:31:55,60.02,47.88,19.61,28.57,33.72,34.41
2025-06-06 00:31:56,60.05,47.88,19.59,28.57,33.72,34.39
2025-06-06 00:31:57,59.95,47.88,19.66,28.57,33.72,34.38
2025-06-06 00:31:58,60.01,47.88,19.71,28.58,33.7,34.44
2025-06-06 00:31:59,60.02,47.88,19.65,28.59,33.72,34.39
2025-06-06 00:32:00,60.24,47.88,19.59,28.59,33.74,34.42
2025-06-06 00:32:01,60.01,47.88,19.5,28.61,33.73,34.41
2025-06-06 00:32:02,59.96,47.88,19.43,28.62,33.7,34.44
2025-06-06 00:32:03,60.16,47.88,19.45,28.64,33.71,34.43
2025-06-06 00:32:04,60.0,47.88,19.42,28.65,33.7,34.44
2025-06-06 00:32:05,60.11,47.88,19.38,28.65,33.71,34.43
2025-06-06 00:32:06,60.03,47.88,19.36,28.66,33.72,34.42
2025-06-06 00:32:07,60.49,47.88,19.32,28.66,33.74,34.43
