Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-15 17:57:15,59.99,49.12,19.17,32.23,32.98,34.04
2025-06-15 17:57:16,59.99,48.25,19.17,32.23,32.96,34.02
2025-06-15 17:57:17,59.77,47.62,19.21,32.23,32.99,34.06
2025-06-15 17:57:18,60.02,47.0,19.23,32.23,32.98,34.05
2025-06-15 17:57:19,60.39,46.5,19.22,32.23,32.99,34.04
2025-06-15 17:57:20,60.07,46.0,19.2,32.23,32.99,34.04
2025-06-15 17:57:21,59.9,45.62,19.19,32.23,33.0,34.02
2025-06-15 17:57:22,60.0,45.38,19.21,32.23,33.02,34.05
2025-06-15 17:57:23,60.21,45.12,19.24,32.23,33.01,34.07
2025-06-15 17:57:24,59.98,44.88,19.24,32.22,33.0,34.03
2025-06-15 17:57:25,60.01,44.62,19.22,32.22,33.02,34.06
2025-06-15 17:57:26,60.11,44.5,19.19,32.23,33.03,34.09
2025-06-15 17:57:27,60.0,44.38,19.17,32.23,33.08,34.09
2025-06-15 17:57:28,60.0,44.25,19.17,32.23,33.06,34.1
2025-06-15 17:57:29,59.98,44.25,19.19,32.23,33.05,34.12
2025-06-15 17:57:30,60.12,44.12,19.19,32.23,33.06,34.13
2025-06-15 17:57:31,60.15,44.12,19.19,32.23,33.04,34.13
2025-06-15 17:57:32,60.07,44.12,19.17,32.23,33.07,34.16
2025-06-15 17:57:33,60.0,44.12,19.16,32.23,33.11,34.13
2025-06-15 17:57:34,60.15,44.12,19.19,32.23,33.06,34.16
2025-06-15 17:57:35,60.0,44.12,19.2,32.24,33.1,34.2
2025-06-15 17:57:36,59.95,44.12,19.23,32.24,33.13,34.19
2025-06-15 17:57:37,60.01,44.12,19.24,32.25,33.12,34.24
2025-06-15 17:57:38,59.96,44.12,19.25,32.25,33.09,34.29
2025-06-15 17:57:39,60.0,44.25,19.32,32.25,33.15,34.28
2025-06-15 17:57:40,60.09,44.25,19.39,32.26,33.11,34.32
2025-06-15 17:57:41,60.0,44.25,19.38,32.26,33.14,34.35
2025-06-15 17:57:42,60.03,44.38,19.33,32.26,33.14,34.35
2025-06-15 17:57:43,60.0,44.38,19.28,32.26,33.16,34.35
2025-06-15 17:57:44,60.31,44.38,19.23,32.26,33.18,34.35
2025-06-15 17:57:45,60.12,44.38,19.19,32.26,33.17,34.36
2025-06-15 17:57:46,60.0,44.38,19.16,32.26,33.23,34.37
2025-06-15 17:57:47,60.01,44.38,19.13,32.26,33.21,34.38
2025-06-15 17:57:48,59.71,44.38,19.11,32.26,33.22,34.4
2025-06-15 17:57:49,59.98,44.5,19.08,32.26,33.25,34.42
