Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-14 19:52:05,60.29,50.62,20.72,30.22,33.91,34.03
2025-06-14 19:52:06,59.99,49.75,20.73,30.2,33.89,34.08
2025-06-14 19:52:07,59.69,49.0,20.7,30.19,33.91,34.07
2025-06-14 19:52:08,60.06,48.38,20.66,30.2,33.91,34.07
2025-06-14 19:52:09,59.97,47.75,20.64,30.2,33.88,34.04
2025-06-14 19:52:10,60.39,47.25,20.66,30.21,33.89,34.06
2025-06-14 19:52:11,59.99,46.88,20.69,30.22,33.89,34.08
2025-06-14 19:52:12,59.98,46.5,20.71,30.23,33.93,34.05
2025-06-14 19:52:13,59.88,46.25,20.72,30.23,33.94,34.08
2025-06-14 19:52:14,60.03,46.0,20.71,30.24,33.95,34.08
2025-06-14 19:52:15,59.99,45.75,20.69,30.25,33.93,34.11
2025-06-14 19:52:16,59.91,45.5,20.7,30.26,33.94,34.1
2025-06-14 19:52:17,60.0,45.38,20.71,30.27,33.94,34.12
2025-06-14 19:52:18,60.38,45.25,20.72,30.27,33.95,34.09
2025-06-14 19:52:19,60.0,45.12,20.7,30.27,33.93,34.09
2025-06-14 19:52:20,59.97,45.0,20.66,30.27,33.93,34.14
2025-06-14 19:52:21,60.22,44.88,20.63,30.27,33.91,34.15
2025-06-14 19:52:22,59.99,44.88,20.62,30.27,33.95,34.14
2025-06-14 19:52:23,60.0,44.88,20.61,30.28,33.93,34.14
2025-06-14 19:52:24,60.24,44.88,20.6,30.28,33.91,34.12
2025-06-14 19:52:25,59.95,44.88,20.56,30.29,33.94,34.09
2025-06-14 19:52:26,60.07,44.88,20.53,30.3,33.97,34.16
2025-06-14 19:52:27,60.0,44.88,20.52,30.31,33.97,34.16
2025-06-14 19:52:28,59.83,44.88,20.54,30.33,33.93,34.14
2025-06-14 19:52:29,60.0,44.88,20.56,30.34,33.96,34.17
2025-06-14 19:52:30,60.08,44.88,20.56,30.36,33.95,34.17
2025-06-14 19:52:31,59.85,44.88,20.55,30.36,33.96,34.18
2025-06-14 19:52:32,59.79,44.88,20.55,30.37,33.99,34.18
2025-06-14 19:52:33,60.0,44.88,20.56,30.39,33.97,34.21
2025-06-14 19:52:34,59.72,45.0,20.56,30.4,33.98,34.19
2025-06-14 19:52:35,59.99,45.0,20.56,30.41,33.95,34.19
2025-06-14 19:52:36,59.93,45.0,20.54,30.41,33.96,34.2
2025-06-14 19:52:37,60.06,45.0,20.52,30.41,33.95,34.24
2025-06-14 19:52:38,60.0,45.0,20.52,30.42,33.99,34.18
2025-06-14 19:52:39,60.25,45.0,20.52,30.42,33.99,34.2
2025-06-14 19:52:40,59.84,45.0,20.53,30.41,33.99,34.24
2025-06-14 19:52:41,59.93,45.0,20.53,30.4,33.98,34.27
2025-06-14 19:52:42,60.12,45.0,20.55,30.4,33.95,34.22
2025-06-14 19:52:43,60.08,45.0,20.59,30.41,34.01,34.25
2025-06-14 19:52:44,60.19,45.12,20.6,30.44,34.02,34.28
2025-06-14 19:52:45,59.99,45.12,20.6,30.45,33.99,34.27
2025-06-14 19:52:46,59.59,45.12,20.6,30.45,33.99,34.27
2025-06-14 19:52:47,59.82,45.12,20.6,30.45,33.99,34.26
2025-06-14 19:52:48,60.43,45.0,20.61,30.45,34.0,34.28
2025-06-14 19:52:49,60.0,45.0,20.63,30.45,33.99,34.29
2025-06-14 19:52:50,59.99,45.0,20.64,30.45,33.99,34.29
2025-06-14 19:52:51,60.2,45.0,20.66,30.46,34.01,34.35
2025-06-14 19:52:52,59.99,45.0,20.66,30.46,33.98,34.33
2025-06-14 19:52:53,60.13,45.0,20.67,30.46,33.97,34.35
2025-06-14 19:52:54,59.98,45.0,20.69,30.46,33.97,34.35
2025-06-14 19:52:55,59.98,45.0,20.71,30.46,34.01,34.35
2025-06-14 19:52:56,60.0,45.0,20.74,30.47,34.02,34.34
2025-06-14 19:52:57,59.86,45.0,20.76,30.47,34.0,34.35
2025-06-14 19:52:58,59.95,45.0,20.77,30.47,33.97,34.34
2025-06-14 19:52:59,60.16,45.0,20.78,30.47,33.97,34.38
2025-06-14 19:53:00,60.0,45.12,20.78,30.48,33.99,34.38
2025-06-14 19:53:01,60.35,45.12,20.8,30.49,34.04,34.39
2025-06-14 19:53:02,59.62,45.12,20.83,30.49,34.04,34.39
2025-06-14 19:53:03,59.98,45.12,20.84,30.49,34.0,34.39
2025-06-14 19:53:04,59.86,45.12,20.85,30.49,33.97,34.39
2025-06-14 19:53:05,60.0,45.12,20.84,30.48,34.01,34.36
2025-06-14 19:53:06,60.07,45.12,20.84,30.49,33.98,34.39
2025-06-14 19:53:07,59.98,45.12,20.83,30.5,33.99,34.37
2025-06-14 19:53:08,60.0,45.12,20.82,30.51,33.99,34.38
2025-06-14 19:53:10,60.08,45.12,20.81,30.5,33.99,34.37
2025-06-14 19:53:11,60.04,45.12,20.81,30.49,34.04,34.38
2025-06-14 19:53:12,60.45,45.12,20.81,30.5,34.03,34.38
2025-06-14 19:53:13,60.34,45.12,20.82,30.5,34.0,34.41
2025-06-14 19:53:14,60.0,45.12,20.82,30.51,33.99,34.39
2025-06-14 19:53:15,60.09,45.12,20.78,30.52,34.05,34.44
2025-06-14 19:53:16,60.33,45.12,20.78,30.53,34.0,34.44
2025-06-14 19:53:17,59.92,45.12,20.74,30.53,34.04,34.41
2025-06-14 19:53:18,59.93,45.12,20.71,30.53,34.0,34.42
2025-06-14 19:53:19,60.0,45.12,20.71,30.53,34.04,34.43
2025-06-14 19:53:20,59.97,45.12,20.72,30.54,34.0,34.4
2025-06-14 19:53:21,60.0,45.12,20.7,30.54,34.04,34.4
2025-06-14 19:53:22,60.0,45.12,20.66,30.54,34.02,34.39
2025-06-14 19:53:23,60.18,45.12,20.64,30.54,34.06,34.42
2025-06-14 19:53:24,60.03,45.12,20.61,30.54,33.99,34.44
2025-06-14 19:53:25,59.99,45.12,20.58,30.54,34.02,34.41
2025-06-14 19:53:26,59.87,45.12,20.58,30.54,34.02,34.42
2025-06-14 19:53:27,60.26,45.12,20.58,30.54,34.03,34.43
2025-06-14 19:53:28,60.0,45.12,20.59,30.54,34.0,34.39
2025-06-14 19:53:29,60.0,45.12,20.6,30.53,34.04,34.4
2025-06-14 19:53:30,60.31,45.12,20.61,30.52,34.02,34.41
2025-06-14 19:53:31,60.65,45.0,20.61,30.51,34.03,34.4
2025-06-14 19:53:32,60.0,45.0,20.61,30.5,34.06,34.43
2025-06-14 19:53:33,59.98,45.0,20.6,30.49,34.03,34.44
2025-06-14 19:53:34,60.02,45.12,20.58,30.47,34.04,34.43
2025-06-14 19:53:35,59.82,45.12,20.56,30.46,34.02,34.43
2025-06-14 19:53:36,60.0,45.12,20.54,30.46,34.02,34.45
2025-06-14 19:53:37,60.05,45.12,20.53,30.45,34.05,34.42
2025-06-14 19:53:38,60.04,45.12,20.56,30.45,34.06,34.42
2025-06-14 19:53:39,60.0,45.12,20.63,30.45,34.05,34.43
2025-06-14 19:53:40,60.3,45.12,20.7,30.46,34.04,34.43
2025-06-14 19:53:41,60.01,45.12,20.76,30.45,33.99,34.42
2025-06-14 19:53:42,60.0,45.12,20.78,30.45,34.02,34.42
2025-06-14 19:53:43,60.03,45.12,20.82,30.45,34.03,34.42
2025-06-14 19:53:44,59.97,45.12,20.85,30.44,34.02,34.41
2025-06-14 19:53:45,60.06,45.12,20.85,30.43,34.0,34.45
2025-06-14 19:53:46,59.99,45.12,20.82,30.42,34.03,34.42
2025-06-14 19:53:47,60.11,45.12,20.78,30.41,34.05,34.42
2025-06-14 19:53:48,59.86,45.12,20.77,30.41,34.06,34.43
2025-06-14 19:53:49,60.0,45.12,20.78,30.42,34.04,34.39
2025-06-14 19:53:50,60.04,45.12,20.78,30.43,34.0,34.44
2025-06-14 19:53:51,59.62,45.12,20.71,30.45,33.99,34.42
2025-06-14 19:53:52,60.01,45.0,20.67,30.45,34.02,34.44
2025-06-14 19:53:53,60.09,45.0,20.64,30.44,34.02,34.44
2025-06-14 19:53:54,60.0,45.0,20.63,30.43,34.03,34.42
2025-06-14 19:53:55,59.97,45.0,20.6,30.42,34.05,34.44
2025-06-14 19:53:56,59.99,45.0,20.58,30.42,34.05,34.41
2025-06-14 19:53:57,60.17,45.0,20.56,30.42,34.04,34.42
2025-06-14 19:53:58,60.22,45.0,20.53,30.42,34.02,34.37
2025-06-14 19:53:59,59.88,45.0,20.49,30.42,34.02,34.42
2025-06-14 19:54:00,60.0,45.0,20.46,30.42,34.02,34.47
2025-06-14 19:54:01,59.78,45.0,20.43,30.41,34.01,34.41
2025-06-14 19:54:02,60.36,45.0,20.42,30.42,34.0,34.43
2025-06-14 19:54:03,60.71,45.0,20.4,30.43,34.05,34.44
