Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-06-07 20:56:14,60.28,48.5,18.45,27.52,29.19,29.35
2025-06-07 20:56:15,60.0,47.5,18.38,27.52,29.2,29.37
2025-06-07 20:56:16,59.99,46.75,18.34,27.53,29.22,29.36
2025-06-07 20:56:17,60.0,46.0,18.29,27.54,29.19,29.37
2025-06-07 20:56:18,59.92,45.5,18.26,27.56,29.22,29.37
2025-06-07 20:56:19,60.12,45.0,18.27,27.57,29.21,29.4
2025-06-07 20:56:20,60.23,44.5,18.32,27.59,29.24,29.37
2025-06-07 20:56:21,60.0,44.12,18.39,27.61,29.23,29.39
2025-06-07 20:56:22,59.93,43.88,18.48,27.64,29.25,29.41
2025-06-07 20:56:23,60.49,43.62,18.57,27.66,29.25,29.44
2025-06-07 20:56:24,60.0,43.38,18.6,27.68,29.25,29.46
2025-06-07 20:56:25,60.31,43.12,18.67,27.7,29.28,29.45
2025-06-07 20:56:26,60.18,43.0,18.77,27.72,29.23,29.43
2025-06-07 20:56:27,60.0,42.88,18.86,27.74,29.23,29.45
2025-06-07 20:56:28,60.93,42.75,18.9,27.75,29.27,29.47
2025-06-07 20:56:29,60.0,42.75,18.89,27.77,29.24,29.46
2025-06-07 20:56:30,60.06,42.62,18.89,27.8,29.24,29.45
2025-06-07 20:56:31,60.14,42.62,18.86,27.81,29.29,29.49
2025-06-07 20:56:32,60.11,42.62,18.78,27.83,29.26,29.51
2025-06-07 20:56:33,60.0,42.62,18.69,27.84,29.29,29.52
2025-06-07 20:56:34,60.13,42.62,18.6,27.86,29.3,29.54
2025-06-07 20:56:35,60.09,42.62,18.54,27.89,29.32,29.56
2025-06-07 20:56:36,60.0,42.62,18.51,27.89,29.3,29.6
2025-06-07 20:56:37,60.26,42.62,18.5,27.92,29.36,29.61
2025-06-07 20:56:38,59.63,42.62,18.49,27.93,29.33,29.6
2025-06-07 20:56:39,60.0,42.62,18.48,27.95,29.34,29.59
2025-06-07 20:56:40,59.76,42.62,18.5,27.97,29.37,29.63
2025-06-07 20:56:41,59.74,42.62,18.57,27.98,29.39,29.66
2025-06-07 20:56:42,60.01,42.62,18.66,28.0,29.41,29.65
2025-06-07 20:56:43,60.17,42.62,18.73,28.02,29.37,29.67
2025-06-07 20:56:44,60.0,42.62,18.8,28.04,29.41,29.68
2025-06-07 20:56:45,59.93,42.62,18.86,28.07,29.42,29.69
2025-06-07 20:56:46,59.94,42.75,18.9,28.09,29.41,29.7
2025-06-07 20:56:47,60.0,42.75,18.9,28.12,29.45,29.72
2025-06-07 20:56:48,60.06,42.75,18.88,28.13,29.41,29.72
2025-06-07 20:56:49,60.44,42.75,18.86,28.15,29.41,29.78
2025-06-07 20:56:50,60.0,42.75,18.86,28.18,29.45,29.74
2025-06-07 20:56:51,60.0,42.75,18.92,28.2,29.41,29.72
2025-06-07 20:56:52,59.88,42.88,18.96,28.22,29.48,29.78
2025-06-07 20:56:53,60.0,42.88,18.98,28.24,29.45,29.81
2025-06-07 20:56:54,60.11,42.88,18.97,28.26,29.48,29.82
2025-06-07 20:56:55,60.2,42.88,18.96,28.28,29.47,29.81
2025-06-07 20:56:56,60.22,42.88,18.93,28.31,29.49,29.81
2025-06-07 20:56:57,60.0,42.88,18.87,28.33,29.5,29.85
2025-06-07 20:56:58,60.18,42.88,18.81,28.34,29.5,29.89
2025-06-07 20:56:59,60.18,43.0,18.74,28.36,29.52,29.9
2025-06-07 20:57:00,60.0,43.0,18.73,28.36,29.54,29.9
2025-06-07 20:57:01,60.14,43.0,18.73,28.37,29.53,29.93
2025-06-07 20:57:02,60.54,43.0,18.7,28.38,29.55,29.93
2025-06-07 20:57:03,60.0,43.12,18.67,28.4,29.55,29.93
2025-06-07 20:57:04,60.22,43.0,18.67,28.43,29.52,29.97
2025-06-07 20:57:05,60.0,43.12,18.67,28.44,29.53,29.98
2025-06-07 20:57:06,60.05,43.12,18.63,28.44,29.57,29.99
2025-06-07 20:57:07,60.0,43.12,18.6,28.45,29.6,30.02
2025-06-07 20:57:08,59.5,43.12,18.56,28.46,29.57,30.0
2025-06-07 20:57:09,60.19,43.12,18.53,28.46,29.59,30.02
2025-06-07 20:57:10,60.05,43.12,18.53,28.47,29.61,30.04
