Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-05 20:49:42,59.99,45.75,19.43,26.71,57.8
2025-08-05 20:49:43,60.11,44.88,19.48,26.73,57.65
2025-08-05 20:49:44,59.96,44.25,19.53,26.75,57.88
2025-08-05 20:49:45,59.78,43.75,19.54,26.78,57.86
2025-08-05 20:49:46,60.19,43.25,19.58,26.84,57.53
2025-08-05 20:49:47,60.0,42.88,19.63,26.9,57.71
2025-08-05 20:49:48,59.98,42.5,19.66,26.95,57.8
2025-08-05 20:49:49,60.06,42.25,19.69,27.0,57.87
2025-08-05 20:49:50,59.98,42.0,19.71,27.04,57.66
2025-08-05 20:49:51,60.13,41.75,19.73,27.07,57.73
2025-08-05 20:49:52,59.88,41.62,19.73,27.1,57.59
2025-08-05 20:49:53,60.06,41.5,19.73,27.13,57.71
2025-08-05 20:49:54,60.12,41.38,19.71,27.15,57.64
2025-08-05 20:49:55,60.17,41.25,19.68,27.19,57.85
2025-08-05 20:49:56,60.0,41.25,19.66,27.22,57.6
2025-08-05 20:49:57,59.94,41.12,19.66,27.26,57.6
2025-08-05 20:49:58,60.01,41.12,19.66,27.29,57.5
2025-08-05 20:49:59,59.87,41.12,19.66,27.32,57.75
2025-08-05 20:50:00,60.07,41.12,19.66,27.35,57.91
2025-08-05 20:50:01,59.8,41.12,19.64,27.36,57.72
2025-08-05 20:50:02,60.17,41.25,19.63,27.39,57.79
2025-08-05 20:50:03,59.96,41.25,19.64,27.42,57.8
2025-08-05 20:50:04,60.0,41.25,19.67,27.44,57.97
2025-08-05 20:50:05,59.9,41.38,19.73,27.47,58.01
2025-08-05 20:50:06,60.01,41.38,19.79,27.5,57.71
2025-08-05 20:50:07,60.22,41.38,19.81,27.51,57.74
2025-08-05 20:50:09,60.02,41.38,19.82,27.54,57.77
2025-08-05 20:50:10,60.0,41.38,19.81,27.57,57.76
2025-08-05 20:50:11,60.0,41.38,19.82,27.59,57.65
2025-08-05 20:50:12,60.1,41.5,19.83,27.62,57.96
2025-08-05 20:50:13,59.96,41.5,19.8,27.64,57.64
2025-08-05 20:50:14,60.01,41.5,19.78,27.67,57.92
2025-08-05 20:50:15,60.0,41.62,19.73,27.69,57.88
2025-08-05 20:50:16,59.89,41.62,19.73,27.72,57.81
2025-08-05 20:50:17,60.0,41.62,19.76,27.74,57.85
2025-08-05 20:50:18,60.65,41.62,19.8,27.76,57.74
2025-08-05 20:50:19,60.15,41.62,19.82,27.78,57.86
2025-08-05 20:50:20,60.13,41.75,19.84,27.81,58.01
2025-08-05 20:50:21,60.12,41.75,19.87,27.82,57.98
2025-08-05 20:50:22,60.04,41.75,19.86,27.85,57.93
2025-08-05 20:50:23,60.0,41.75,19.83,27.88,57.73
2025-08-05 20:50:24,60.0,41.75,19.8,27.9,57.88
2025-08-05 20:50:25,59.77,41.88,19.78,27.92,57.71
2025-08-05 20:50:26,60.22,41.88,19.79,27.95,57.9
2025-08-05 20:50:27,60.11,41.88,19.8,27.97,57.91
2025-08-05 20:50:28,60.1,41.88,19.81,27.98,57.88
2025-08-05 20:50:29,59.86,42.0,19.82,28.0,57.87
2025-08-05 20:50:30,59.92,42.0,19.84,28.03,57.92
