Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-02 23:40:28,59.81,56.25,18.44,30.81,86.45
2025-08-02 23:40:29,60.0,54.75,18.45,30.81,86.24
2025-08-02 23:40:30,59.86,53.38,18.45,30.78,86.29
2025-08-02 23:40:31,60.02,52.12,18.45,30.76,86.58
2025-08-02 23:40:32,59.77,51.12,18.44,30.74,86.38
2025-08-02 23:40:33,60.0,50.25,18.44,30.73,86.21
2025-08-02 23:40:34,59.96,49.5,18.45,30.73,86.19
2025-08-02 23:40:35,60.11,48.88,18.45,30.73,86.06
2025-08-02 23:40:36,59.89,48.25,18.46,30.72,86.24
2025-08-02 23:40:37,60.0,47.88,18.47,30.72,85.92
2025-08-02 23:40:38,60.21,47.38,18.48,30.72,86.53
2025-08-02 23:40:39,60.01,47.12,18.49,30.73,86.24
2025-08-02 23:40:40,59.96,46.75,18.49,30.73,86.31
2025-08-02 23:40:41,60.0,46.5,18.48,30.72,86.31
2025-08-02 23:40:42,60.16,46.25,18.48,30.71,86.29
2025-08-02 23:40:43,60.22,46.12,18.48,30.7,86.14
2025-08-02 23:40:44,60.11,45.88,18.48,30.69,86.09
2025-08-02 23:40:45,60.88,45.75,18.47,30.69,86.14
2025-08-02 23:40:46,60.0,45.62,18.51,30.7,86.01
2025-08-02 23:40:47,60.43,45.5,18.51,30.72,85.96
2025-08-02 23:40:48,59.92,45.38,18.5,30.72,85.9
2025-08-02 23:40:49,60.0,45.38,18.48,30.72,86.24
2025-08-02 23:40:50,59.73,45.25,18.48,30.7,86.04
2025-08-02 23:40:51,60.0,45.25,18.47,30.69,86.04
2025-08-02 23:40:52,60.29,45.25,18.46,30.68,85.87
2025-08-02 23:40:53,60.51,45.12,18.46,30.67,85.8
2025-08-02 23:40:54,60.18,45.12,18.46,30.67,86.01
2025-08-02 23:40:55,60.0,45.12,18.45,30.66,85.82
2025-08-02 23:40:56,59.93,45.12,18.44,30.66,86.09
2025-08-02 23:40:57,59.89,45.12,18.45,30.65,85.75
2025-08-02 23:40:58,59.84,45.12,18.46,30.65,85.82
2025-08-02 23:40:59,60.02,45.12,18.46,30.64,85.9
2025-08-02 23:41:00,60.0,45.0,18.46,30.63,86.04
2025-08-02 23:41:01,60.02,45.12,18.47,30.62,85.72
2025-08-02 23:41:02,59.84,45.12,18.48,30.6,86.04
2025-08-02 23:41:03,60.17,45.0,18.49,30.59,86.04
2025-08-02 23:41:04,59.93,45.0,18.5,30.59,85.99
2025-08-02 23:41:05,60.0,45.0,18.51,30.59,85.7
2025-08-02 23:41:06,60.02,45.0,18.5,30.59,85.99
2025-08-02 23:41:07,60.5,45.0,18.5,30.59,86.06
2025-08-02 23:41:08,60.65,45.0,18.48,30.58,85.75
2025-08-02 23:41:09,60.0,45.0,18.48,30.57,85.75
2025-08-02 23:41:10,59.96,45.0,18.48,30.55,85.7
2025-08-02 23:41:11,59.97,45.0,18.49,30.54,85.65
2025-08-02 23:41:12,60.01,45.0,18.49,30.54,85.67
2025-08-02 23:41:13,60.0,45.0,18.49,30.54,85.8
2025-08-02 23:41:14,59.62,44.88,18.48,30.54,85.41
2025-08-02 23:41:15,60.06,44.88,18.48,30.54,85.77
2025-08-02 23:41:16,60.01,44.88,18.48,30.54,85.72
2025-08-02 23:41:17,60.0,44.88,18.47,30.54,85.53
2025-08-02 23:41:18,60.03,44.88,18.48,30.54,85.48
2025-08-02 23:41:19,60.24,44.88,18.48,30.54,85.65
2025-08-02 23:41:20,60.18,44.88,18.48,30.54,85.1
2025-08-02 23:41:21,59.89,44.88,18.47,30.54,85.33
2025-08-02 23:41:22,60.0,44.88,18.45,30.54,85.21
2025-08-02 23:41:23,60.66,44.88,18.43,30.54,85.31
2025-08-02 23:41:24,60.07,44.88,18.43,30.53,85.43
2025-08-02 23:41:25,60.1,44.88,18.43,30.52,85.46
2025-08-02 23:41:26,60.01,44.88,18.43,30.5,85.48
2025-08-02 23:41:27,60.05,44.88,18.43,30.5,85.41
2025-08-02 23:41:28,59.83,44.88,18.43,30.51,85.48
2025-08-02 23:41:29,60.24,44.88,18.43,30.5,85.31
2025-08-02 23:41:30,60.0,44.88,18.43,30.49,85.1
2025-08-02 23:41:31,59.93,44.88,18.43,30.47,85.07
2025-08-02 23:41:32,60.75,44.88,18.42,30.47,85.21
2025-08-02 23:41:33,60.0,44.75,18.41,30.48,85.48
2025-08-02 23:41:34,59.8,44.75,18.41,30.48,85.33
2025-08-02 23:41:35,60.04,44.75,18.4,30.48,85.26
2025-08-02 23:41:36,60.19,44.75,18.4,30.48,84.85
