Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1,Tpsu2
2025-07-07 19:32:13,60.26,52.75,19.07,31.71,34.61,31.95
2025-07-07 19:32:14,60.0,51.75,19.07,31.73,34.63,31.97
2025-07-07 19:32:15,59.89,50.75,19.07,31.74,34.62,31.96
2025-07-07 19:32:16,60.11,50.0,19.07,31.74,34.62,31.97
2025-07-07 19:32:17,60.04,49.25,19.07,31.75,34.67,31.99
2025-07-07 19:32:18,60.0,48.62,19.07,31.76,34.64,31.98
2025-07-07 19:32:19,60.0,48.12,19.08,31.77,34.64,31.97
2025-07-07 19:32:20,60.08,47.75,19.08,31.79,34.67,31.99
2025-07-07 19:32:21,59.95,47.38,19.08,31.81,34.68,31.99
2025-07-07 19:32:22,59.9,47.12,19.08,31.83,34.67,32.0
2025-07-07 19:32:23,60.0,46.75,19.07,31.85,34.71,32.01
2025-07-07 19:32:24,60.23,46.62,19.07,31.87,34.72,32.04
2025-07-07 19:32:25,60.78,46.38,19.08,31.9,34.73,32.03
2025-07-07 19:32:26,60.2,46.25,19.08,31.92,34.72,32.05
2025-07-07 19:32:27,60.0,46.12,19.08,31.94,34.74,32.04
2025-07-07 19:32:28,60.11,46.0,19.08,31.96,34.73,32.07
2025-07-07 19:32:29,60.39,45.88,19.08,31.98,34.75,32.06
2025-07-07 19:32:30,60.03,45.88,19.08,32.0,34.79,32.08
2025-07-07 19:32:31,60.0,45.75,19.08,32.02,34.76,32.07
2025-07-07 19:32:32,59.85,45.75,19.08,32.04,34.84,32.08
2025-07-07 19:32:33,60.05,45.75,19.08,32.06,34.83,32.08
2025-07-07 19:32:34,60.06,45.88,19.09,32.07,34.87,32.1
2025-07-07 19:32:35,60.0,45.88,19.09,32.09,34.84,32.12
2025-07-07 19:32:36,60.01,45.88,19.11,32.11,34.84,32.13
2025-07-07 19:32:37,60.0,45.88,19.12,32.12,34.83,32.12
2025-07-07 19:32:38,59.93,45.88,19.13,32.15,34.84,32.14
2025-07-07 19:32:39,60.02,45.88,19.14,32.16,34.89,32.15
2025-07-07 19:32:41,60.1,45.88,19.15,32.18,34.98,32.16
2025-07-07 19:32:42,60.01,46.0,19.15,32.2,34.95,32.18
2025-07-07 19:32:43,60.0,45.88,19.15,32.21,34.97,32.17
2025-07-07 19:32:44,59.79,46.0,19.15,32.24,34.96,32.2
2025-07-07 19:32:45,59.63,46.0,19.15,32.26,34.95,32.2
2025-07-07 19:32:46,59.92,46.0,19.14,32.27,35.03,32.22
2025-07-07 19:32:47,60.0,46.0,19.14,32.28,35.04,32.21
2025-07-07 19:32:48,60.05,46.0,19.14,32.3,35.01,32.23
2025-07-07 19:32:49,59.93,46.0,19.14,32.32,35.02,32.25
2025-07-07 19:32:50,59.82,46.0,19.14,32.34,35.09,32.26
2025-07-07 19:32:51,60.0,46.0,19.14,32.36,35.13,32.25
2025-07-07 19:32:52,60.11,46.12,19.13,32.37,35.1,32.26
2025-07-07 19:32:53,60.05,46.12,19.13,32.38,35.1,32.3
2025-07-07 19:32:54,59.99,46.12,19.13,32.4,35.13,32.3
2025-07-07 19:32:55,60.0,46.12,19.13,32.42,35.18,32.32
2025-07-07 19:32:56,60.18,46.12,19.12,32.44,35.18,32.34
2025-07-07 19:32:57,60.0,46.12,19.11,32.46,35.22,32.34
2025-07-07 19:32:58,60.0,46.12,19.11,32.47,35.22,32.35
2025-07-07 19:32:59,59.99,46.12,19.11,32.48,35.26,32.35
2025-07-07 19:33:00,60.15,46.25,19.11,32.5,35.29,32.38
2025-07-07 19:33:01,60.0,46.25,19.11,32.52,35.29,32.35
2025-07-07 19:33:02,60.04,46.25,19.11,32.53,35.34,32.39
2025-07-07 19:33:03,59.99,46.25,19.11,32.55,35.32,32.41
2025-07-07 19:33:04,60.0,46.25,19.1,32.56,35.34,32.41
2025-07-07 19:33:05,60.07,46.25,19.1,32.57,35.36,32.43
2025-07-07 19:33:06,59.84,46.38,19.09,32.59,35.38,32.43
2025-07-07 19:33:07,60.31,46.38,19.09,32.61,35.41,32.43
2025-07-07 19:33:08,60.0,46.38,19.09,32.62,35.41,32.44
2025-07-07 19:33:09,60.06,46.38,19.09,32.64,35.41,32.46
2025-07-07 19:33:10,59.93,46.38,19.09,32.65,35.48,32.45
2025-07-07 19:33:11,59.9,46.38,19.09,32.67,35.45,32.48
2025-07-07 19:33:12,60.0,46.38,19.09,32.67,35.45,32.46
2025-07-07 19:33:13,60.06,46.38,19.08,32.68,35.51,32.5
2025-07-07 19:33:14,59.89,46.38,19.08,32.69,35.51,32.52
2025-07-07 19:33:15,60.15,46.38,19.08,32.71,35.48,32.54
2025-07-07 19:33:16,60.0,46.38,19.09,32.72,35.5,32.55
2025-07-07 19:33:17,60.2,46.38,19.09,32.73,35.58,32.58
