Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-07-29 19:36:52,60.01,57.12,17.94,28.54,28.89
2025-07-29 19:36:53,59.67,55.0,17.92,28.6,29.02
2025-07-29 19:36:54,60.08,53.12,17.91,28.68,28.98
2025-07-29 19:36:55,60.08,51.62,17.91,28.76,29.16
2025-07-29 19:36:56,59.99,50.38,17.9,28.83,29.21
2025-07-29 19:36:57,59.87,49.12,17.9,28.86,29.15
2025-07-29 19:36:58,59.84,48.25,17.9,28.87,29.09
2025-07-29 19:36:59,60.09,47.38,17.9,28.87,29.16
2025-07-29 19:37:00,59.99,46.62,17.9,28.87,29.14
2025-07-29 19:37:01,59.99,46.0,17.91,28.87,29.2
2025-07-29 19:37:02,59.9,45.5,17.91,28.88,29.55
2025-07-29 19:37:03,60.63,45.12,17.91,28.89,29.63
2025-07-29 19:37:04,59.01,44.62,17.91,28.91,29.58
2025-07-29 19:37:05,61.29,44.38,17.92,28.92,29.67
2025-07-29 19:37:06,60.0,44.12,17.93,28.94,29.47
2025-07-29 19:37:07,59.63,43.88,17.93,28.96,29.66
2025-07-29 19:37:08,59.55,43.62,17.93,28.98,29.37
2025-07-29 19:37:09,59.63,43.38,17.93,28.99,29.78
2025-07-29 19:37:10,59.98,43.25,17.93,29.0,29.62
2025-07-29 19:37:11,60.4,43.12,17.93,29.0,29.62
2025-07-29 19:37:12,60.0,43.0,17.91,29.02,29.39
2025-07-29 19:37:13,60.18,42.88,17.9,29.03,29.58
2025-07-29 19:37:14,59.98,42.88,17.89,29.05,29.67
2025-07-29 19:37:15,59.8,42.75,17.89,29.06,29.7
2025-07-29 19:37:16,60.35,42.75,17.89,29.08,29.86
2025-07-29 19:37:17,59.06,42.75,17.9,29.09,29.92
2025-07-29 19:37:18,59.34,42.75,17.9,29.1,29.75
2025-07-29 19:37:19,60.02,42.75,17.91,29.11,29.96
2025-07-29 19:37:20,59.85,42.75,17.91,29.13,30.11
2025-07-29 19:37:21,60.1,42.75,17.92,29.15,29.93
2025-07-29 19:37:22,60.21,42.75,17.92,29.16,29.84
2025-07-29 19:37:23,60.64,42.75,17.91,29.17,30.09
2025-07-29 19:37:24,59.97,42.75,17.91,29.19,30.06
2025-07-29 19:37:25,60.01,42.75,17.91,29.2,29.98
2025-07-29 19:37:26,60.69,42.75,17.91,29.22,30.06
2025-07-29 19:37:27,60.08,42.75,17.92,29.23,30.2
2025-07-29 19:37:28,60.0,42.75,17.94,29.24,30.27
2025-07-29 19:37:29,59.98,42.75,17.97,29.24,30.37
2025-07-29 19:37:30,60.09,42.75,18.01,29.26,30.31
2025-07-29 19:37:31,60.08,42.75,18.03,29.27,30.01
2025-07-29 19:37:32,60.31,42.88,18.04,29.28,30.14
2025-07-29 19:37:33,59.72,42.88,18.04,29.29,30.26
2025-07-29 19:37:34,60.0,42.88,18.04,29.31,30.46
2025-07-29 19:37:35,59.94,42.88,18.04,29.32,30.41
2025-07-29 19:37:36,59.87,42.88,18.04,29.33,30.47
2025-07-29 19:37:37,59.64,42.88,18.04,29.34,30.54
2025-07-29 19:37:38,60.31,42.88,18.04,29.36,30.35
2025-07-29 19:37:39,59.99,42.88,18.04,29.37,30.28
2025-07-29 19:37:40,60.17,42.88,18.03,29.38,30.56
2025-07-29 19:37:41,59.72,42.88,18.02,29.39,30.54
2025-07-29 19:37:42,60.0,42.88,18.0,29.4,30.6
2025-07-29 19:37:43,60.46,42.88,17.98,29.4,30.42
2025-07-29 19:37:44,60.28,42.88,17.97,29.41,30.63
2025-07-29 19:37:45,59.92,43.0,17.96,29.43,30.5
2025-07-29 19:37:46,59.82,43.0,17.94,29.44,30.63
2025-07-29 19:37:47,60.6,43.0,17.93,29.45,30.68
2025-07-29 19:37:48,60.0,43.0,17.92,29.46,30.91
2025-07-29 19:37:49,60.17,43.0,17.91,29.48,30.74
2025-07-29 19:37:50,60.78,43.0,17.91,29.49,30.68
2025-07-29 19:37:51,59.88,43.0,17.91,29.49,30.82
2025-07-29 19:37:52,60.25,43.0,17.91,29.5,30.88
2025-07-29 19:37:53,59.99,43.0,17.91,29.51,30.91
2025-07-29 19:37:54,59.96,43.0,17.91,29.52,30.92
