Timestamp,Ppkg,Tdie,Tair_in,Tair_out
2025-07-20 21:57:54,59.96,52.62,18.49,32.78
2025-07-20 21:57:55,60.01,51.62,18.49,32.78
2025-07-20 21:57:56,60.0,50.88,18.49,32.78
2025-07-20 21:57:57,59.96,50.25,18.48,32.78
2025-07-20 21:57:58,60.07,49.62,18.48,32.8
2025-07-20 21:57:59,60.05,49.12,18.47,32.81
2025-07-20 21:58:00,60.0,48.75,18.48,32.84
2025-07-20 21:58:01,60.08,48.38,18.49,32.88
2025-07-20 21:58:02,60.0,48.0,18.49,32.92
2025-07-20 21:58:03,60.04,47.75,18.49,32.95
2025-07-20 21:58:04,60.0,47.5,18.48,32.96
2025-07-20 21:58:05,62.84,47.25,18.46,32.97
2025-07-20 21:58:06,59.92,47.12,18.45,32.97
2025-07-20 21:58:07,60.0,47.0,18.46,32.95
2025-07-20 21:58:08,59.97,46.88,18.48,32.95
2025-07-20 21:58:09,59.95,46.75,18.48,32.97
2025-07-20 21:58:10,60.06,46.62,18.48,33.01
2025-07-20 21:58:11,60.07,46.62,18.5,33.04
2025-07-20 21:58:12,60.09,46.62,18.51,33.06
2025-07-20 21:58:13,59.97,46.62,18.52,33.05
2025-07-20 21:58:14,60.0,46.62,18.54,33.04
2025-07-20 21:58:15,60.0,46.62,18.55,33.04
2025-07-20 21:58:16,59.94,46.62,18.57,33.06
2025-07-20 21:58:17,59.87,46.62,18.57,33.11
2025-07-20 21:58:18,60.03,46.62,18.57,33.12
2025-07-20 21:58:19,60.05,46.62,18.59,33.11
2025-07-20 21:58:20,59.93,46.62,18.6,33.13
2025-07-20 21:58:21,60.32,46.62,18.61,33.14
2025-07-20 21:58:22,60.0,46.62,18.61,33.18
2025-07-20 21:58:23,60.03,46.62,18.62,33.19
2025-07-20 21:58:24,60.05,46.62,18.62,33.19
2025-07-20 21:58:25,60.08,46.62,18.63,33.19
2025-07-20 21:58:26,60.16,46.62,18.66,33.21
2025-07-20 21:58:27,60.07,46.62,18.67,33.22
2025-07-20 21:58:28,59.97,46.62,18.69,33.23
2025-07-20 21:58:29,60.41,46.75,18.67,33.22
2025-07-20 21:58:30,59.98,46.75,18.59,33.22
2025-07-20 21:58:31,60.0,46.75,18.52,33.22
2025-07-20 21:58:32,60.01,46.75,18.46,33.21
2025-07-20 21:58:33,59.97,46.75,18.41,33.21
2025-07-20 21:58:34,60.04,46.75,18.47,33.22
2025-07-20 21:58:35,59.96,46.75,18.53,33.24
2025-07-20 21:58:36,59.98,46.75,18.56,33.24
2025-07-20 21:58:37,60.03,46.75,18.63,33.26
2025-07-20 21:58:38,60.18,46.75,18.7,33.3
