Timestamp,Ppkg,Tdie,Tair_in,Tair_out,Tpsu1
2025-08-02 14:02:11,59.89,49.25,16.88,28.75,32.04
2025-08-02 14:02:12,60.23,48.25,16.86,28.73,32.34
2025-08-02 14:02:13,59.95,47.38,16.83,28.7,32.68
2025-08-02 14:02:14,60.0,46.75,16.82,28.69,32.35
2025-08-02 14:02:15,59.93,46.12,16.79,28.7,32.35
2025-08-02 14:02:16,60.07,45.62,16.76,28.73,32.85
2025-08-02 14:02:17,59.98,45.12,16.73,28.76,32.47
2025-08-02 14:02:18,60.16,44.75,16.71,28.81,32.5
2025-08-02 14:02:19,60.01,44.38,16.68,28.84,32.51
2025-08-02 14:02:20,59.83,44.12,16.66,28.87,32.49
2025-08-02 14:02:21,59.5,43.88,16.66,28.9,32.53
2025-08-02 14:02:22,59.73,43.62,16.65,28.92,32.54
2025-08-02 14:02:23,60.06,43.5,16.62,28.92,32.57
2025-08-02 14:02:24,60.2,43.38,16.6,28.95,32.9
2025-08-02 14:02:25,60.0,43.25,16.59,28.97,32.78
2025-08-02 14:02:26,60.42,43.12,16.58,28.99,32.75
2025-08-02 14:02:27,60.17,43.12,16.58,29.01,32.63
2025-08-02 14:02:28,60.03,43.0,16.57,29.03,32.66
2025-08-02 14:02:29,60.0,43.0,16.58,29.05,32.93
2025-08-02 14:02:30,60.08,43.0,16.58,29.08,32.59
2025-08-02 14:02:31,59.99,43.0,16.59,29.09,32.72
2025-08-02 14:02:32,59.87,43.0,16.6,29.11,32.79
2025-08-02 14:02:33,59.99,43.0,16.62,29.13,32.9
2025-08-02 14:02:34,59.92,43.0,16.64,29.15,33.03
2025-08-02 14:02:35,60.0,43.0,16.65,29.16,32.8
2025-08-02 14:02:36,60.53,43.0,16.67,29.18,32.78
2025-08-02 14:02:37,60.0,43.0,16.68,29.19,32.73
2025-08-02 14:02:38,60.06,43.0,16.69,29.21,32.78
2025-08-02 14:02:39,60.0,43.0,16.69,29.23,32.91
2025-08-02 14:02:40,59.96,43.12,16.71,29.24,33.1
2025-08-02 14:02:41,60.0,43.12,16.71,29.25,33.33
2025-08-02 14:02:42,59.97,43.12,16.72,29.27,32.97
2025-08-02 14:02:43,59.89,43.12,16.74,29.3,32.88
2025-08-02 14:02:44,60.11,43.12,16.75,29.32,33.12
2025-08-02 14:02:45,59.72,43.12,16.76,29.33,33.11
2025-08-02 14:02:46,59.04,43.12,16.76,29.34,33.38
2025-08-02 14:02:47,60.02,43.12,16.76,29.36,33.52
2025-08-02 14:02:48,59.86,43.25,16.78,29.38,33.21
2025-08-02 14:02:49,60.0,43.25,16.8,29.4,33.43
2025-08-02 14:02:50,59.9,43.25,16.82,29.41,33.44
2025-08-02 14:02:51,60.02,43.25,16.82,29.43,33.33
2025-08-02 14:02:52,60.01,43.25,16.83,29.44,33.35
2025-08-02 14:02:53,60.0,43.25,16.84,29.46,33.28
2025-08-02 14:02:54,60.12,43.25,16.84,29.48,33.34
2025-08-02 14:02:55,59.89,43.25,16.83,29.5,33.23
2025-08-02 14:02:56,59.77,43.38,16.83,29.5,33.66
2025-08-02 14:02:57,60.91,43.38,16.82,29.51,33.64
2025-08-02 14:02:58,59.93,43.38,16.82,29.53,33.47
2025-08-02 14:02:59,60.0,43.38,16.81,29.54,33.58
2025-08-02 14:03:00,61.15,43.38,16.8,29.55,33.35
2025-08-02 14:03:01,60.16,43.38,16.79,29.57,33.65
2025-08-02 14:03:02,59.8,43.38,16.78,29.58,33.7
2025-08-02 14:03:03,59.85,43.38,16.78,29.59,33.76
2025-08-02 14:03:04,59.72,43.38,16.78,29.61,33.7
2025-08-02 14:03:05,59.98,43.38,16.79,29.62,33.78
2025-08-02 14:03:06,60.0,43.38,16.78,29.65,33.37
2025-08-02 14:03:07,60.08,43.5,16.78,29.67,33.88
2025-08-02 14:03:08,60.07,43.5,16.78,29.67,33.93
2025-08-02 14:03:09,60.4,43.5,16.78,29.69,33.68
2025-08-02 14:03:10,60.15,43.5,16.79,29.7,33.84
2025-08-02 14:03:11,60.08,43.5,16.81,29.72,34.0
2025-08-02 14:03:12,59.99,43.5,16.82,29.73,33.95
2025-08-02 14:03:13,60.35,43.5,16.82,29.75,33.99
2025-08-02 14:03:14,61.97,43.5,16.83,29.75,34.0
2025-08-02 14:03:15,60.02,43.5,16.83,29.76,34.05
2025-08-02 14:03:16,60.22,43.5,16.83,29.77,34.08
2025-08-02 14:03:17,60.07,43.5,16.82,29.79,33.93
2025-08-02 14:03:18,59.99,43.62,16.79,29.8,33.98
2025-08-02 14:03:19,60.0,43.62,16.77,29.82,34.04
2025-08-02 14:03:20,60.23,43.62,16.76,29.84,34.04
2025-08-02 14:03:21,60.17,43.62,16.75,29.84,33.99
2025-08-02 14:03:22,60.24,43.62,16.76,29.84,34.06
2025-08-02 14:03:23,60.14,43.62,16.76,29.86,34.26
2025-08-02 14:03:24,59.97,43.62,16.77,29.87,34.07
