run_id,path,valid,invalidity_reason,loop_under_test,revision,case,waterblock,radiator,fan,pump,cpu,psu,fan_push_pull,fan_front_back,fan_rpm,pump_in_out_wb,pump_rpm
1,data\pureloop120-mycro-mod\DanA4\mycro_A4_1.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,Corsair SF750,push,front,1950,in,5000
2,data\pureloop120-mycro-mod\DanA4\mycro_A4_2.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,Corsair SF750,push,front,1950,in,5000
3,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_into_SFXL_20250707_193210.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,be quiet! SFX-L Power,push,front,1950,in,5000
4,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_into_SFXL_20250712_142013.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,be quiet! SFX-L Power,push,front,1950,in,5000
5,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_into_SFXL_20250713_112944.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,be quiet! SFX-L Power,push,front,1950,in,5000
6,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_into_SFX_20250729_193649.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,Corsair SF750,push,front,1950,in,5000
7,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_into_SFX_20250730_201012.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,Corsair SF750,push,front,1950,in,5000
8,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_into_SFX_20250731_204458.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,Corsair SF750,push,front,1950,in,5000
9,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_to_SFXL_backside__20250713_151344.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,be quiet! SFX-L Power,push,front,1950,in,5000
10,data\pureloop120-mycro-mod\DanA4\mycro_pure_in_A4_blow_to_SFXL_backside__20250713_181338.csv,true,,be quiet! Pure Loop 120  Mycro Direct-Die mod,0,Dan Cases A4-SFX V4.1,TG Mycro Direct-Die Pro,Pure Loop 120 stock,Corsair AF120 SLIM,Pure Loop 120 stock,Ryzen 9 7900X delidded,be quiet! SFX-L Power,push,front,1950,in,5000
